cell_id,enb_id,cell_name,site_id,latitude,longitude,region,market,technology,frequency_band,capacity_rating,neighbor_cells,tower_status
CELL_00317,eNB_0149,Site_5783_Sector_1,SITE_0453,40.48942847519551,-103.83242836362479,Pacific,Rural,5G NSA,Band 71 (600MHz),Low,"CELL_01089,CELL_00264,CELL_00339,CELL_00109,CELL_01097",Active
CELL_00318,eNB_0033,Site_7538_Sector_2,SITE_0310,35.572891368443905,-68.2930323621507,Midwest,Urban,5G SA,Band 2 (1900MHz),Low,"CELL_00195,CELL_00160,CELL_00296",Maintenance
CELL_00319,eNB_0177,Site_6990_Sector_2,SITE_0095,28.83515714409156,-100.59064651781046,Midwest,Dense Urban,5G SA,n71 (600MHz),Low,"CELL_00201,CELL_00570,CELL_00351,CELL_00536",Active
CELL_00320,eNB_0006,Site_4930_Sector_2,SITE_0080,43.72572685147313,-95.87739094325674,Southeast,Dense Urban,LTE,Band 66 (AWS-3),High,"CELL_00732,CELL_00171,CELL_00955,CELL_00424,CELL_00797,CELL_00678",Active
CELL_00321,eNB_0052,Site_5325_Sector_3,SITE_0281,44.53539340313434,-108.41464686599926,Midwest,Rural,LTE,Band 2 (1900MHz),High,"CELL_00591,CELL_01097,CELL_00789,CELL_00272,CELL_00709,CELL_00103,CELL_00515",Active
CELL_00322,eNB_0175,Site_3051_Sector_1,SITE_0152,39.55907427761295,-113.16578253352175,Northeast,Urban,5G NSA,Band 4 (AWS),High,"CELL_00474,CELL_00582,CELL_00461,CELL_00085",Active
CELL_00323,eNB_0008,Site_7550_Sector_1,SITE_0258,40.989603188292065,-68.04050374613021,Midwest,Rural,5G SA,Band 2 (1900MHz),Medium,"CELL_01340,CELL_00795,CELL_00948,CELL_01483,CELL_01412,CELL_00549,CELL_00243,CELL_00693",Active
CELL_00324,eNB_0187,Site_3957_Sector_3,SITE_0455,47.43122805405519,-83.49573334678242,Northeast,Highway,LTE,Band 2 (1900MHz),High,"CELL_00996,CELL_01412,CELL_00360",Active
CELL_00325,eNB_0129,Site_7408_Sector_3,SITE_0330,30.98815645501617,-85.58093916830899,Northeast,Highway,5G NSA,Band 12 (700MHz),Very High,"CELL_00007,CELL_00300,CELL_00914",Active
CELL_00326,eNB_0028,Site_3818_Sector_1,SITE_0391,37.972756087188785,-93.05452434667657,Southeast,Highway,LTE,n71 (600MHz),High,"CELL_00357,CELL_00455,CELL_01335,CELL_00591,CELL_00650,CELL_00418,CELL_00481",Active
CELL_00327,eNB_0002,Site_6085_Sector_1,SITE_0348,48.359743479451204,-105.11625913514152,Southeast,Highway,LTE,n71 (600MHz),Medium,"CELL_00719,CELL_00476,CELL_00771,CELL_01054,CELL_00737,CELL_00490,CELL_01036,CELL_00856",Active
CELL_00328,eNB_0115,Site_3107_Sector_3,SITE_0163,39.77895399276557,-77.90001666801922,Southwest,Suburban,LTE,Band 12 (700MHz),Medium,"CELL_01203,CELL_00438,CELL_00090,CELL_01398,CELL_00263",Active
CELL_00329,eNB_0130,Site_4742_Sector_3,SITE_0064,29.308671014000467,-94.7398919059649,Northeast,Highway,5G NSA,Band 12 (700MHz),High,"CELL_00977,CELL_01149,CELL_00323",Active
CELL_00330,eNB_0146,Site_8475_Sector_2,SITE_0425,41.395769769212556,-101.03918623544764,Midwest,Suburban,5G NSA,Band 66 (AWS-3),Medium,"CELL_00912,CELL_00078,CELL_00350,CELL_01052,CELL_01026,CELL_01034",Active
CELL_00331,eNB_0012,Site_1677_Sector_3,SITE_0053,43.9340478205592,-106.41038951794339,Midwest,Rural,LTE,Band 4 (AWS),Medium,"CELL_00061,CELL_00244,CELL_01184,CELL_00442,CELL_01228,CELL_00457,CELL_00466,CELL_00755",Active
CELL_00332,eNB_0033,Site_1252_Sector_1,SITE_0547,29.121250769154614,-96.7782367197419,Southeast,Suburban,5G SA,Band 4 (AWS),Low,"CELL_00307,CELL_00237,CELL_00988,CELL_00319,CELL_00946,CELL_01314",Active
CELL_00333,eNB_0055,Site_7444_Sector_1,SITE_0224,37.09109199597419,-111.99170838065415,West,Suburban,LTE,n71 (600MHz),Medium,"CELL_01340,CELL_01181,CELL_00350",Active
CELL_00334,eNB_0138,Site_5662_Sector_1,SITE_0579,37.33340108389899,-79.68685679995201,Southwest,Suburban,LTE,Band 71 (600MHz),Medium,"CELL_00480,CELL_01074,CELL_01438,CELL_00492,CELL_01216",Active
CELL_00335,eNB_0198,Site_7398_Sector_3,SITE_0077,45.45201005014567,-110.07742379088545,West,Dense Urban,5G SA,Band 12 (700MHz),Very High,"CELL_00806,CELL_00799,CELL_01053,CELL_01293,CELL_00071",Active
CELL_00336,eNB_0085,Site_8448_Sector_3,SITE_0370,31.09895555620349,-95.89849054197256,Northeast,Urban,5G NSA,n71 (600MHz),Medium,"CELL_00988,CELL_01283,CELL_00834,CELL_00443",Active
CELL_00337,eNB_0159,Site_4784_Sector_1,SITE_0138,45.819600525617446,-122.94599473536822,Midwest,Urban,5G NSA,Band 71 (600MHz),Very High,"CELL_00860,CELL_00022,CELL_00090,CELL_00176",Active
CELL_00338,eNB_0001,Site_9682_Sector_2,SITE_0472,30.057568617381335,-123.11862702147499,Pacific,Suburban,5G NSA,n71 (600MHz),High,"CELL_00890,CELL_00370,CELL_00942,CELL_00427,CELL_01333,CELL_00982,CELL_01096,CELL_00691",Active
CELL_00339,eNB_0175,Site_4876_Sector_2,SITE_0340,45.023187975360266,-112.90760692398253,Northeast,Rural,5G SA,Band 2 (1900MHz),Medium,"CELL_00173,CELL_01213,CELL_00917",Active
CELL_00340,eNB_0128,Site_5073_Sector_2,SITE_0493,44.56882114080868,-117.0519585543538,Midwest,Suburban,5G NSA,Band 2 (1900MHz),Low,"CELL_00836,CELL_00244,CELL_00685",Active
CELL_00341,eNB_0003,Site_2712_Sector_1,SITE_0337,33.65024489132915,-113.37421672463897,Northeast,Rural,5G NSA,Band 12 (700MHz),Medium,"CELL_00633,CELL_00032,CELL_00544,CELL_00706,CELL_01204",Active
CELL_00342,eNB_0118,Site_3103_Sector_3,SITE_0554,38.80405881240485,-81.16768177547557,West,Highway,LTE,Band 2 (1900MHz),Medium,"CELL_00351,CELL_01137,CELL_00735,CELL_00327,CELL_00062,CELL_01263,CELL_01425",Active
CELL_00343,eNB_0022,Site_9971_Sector_1,SITE_0327,32.87283077111665,-119.08863608407567,Southwest,Urban,5G NSA,Band 66 (AWS-3),Medium,"CELL_01260,CELL_00959,CELL_00223,CELL_00730,CELL_01022,CELL_01060,CELL_00391",Active
CELL_00344,eNB_0015,Site_9612_Sector_1,SITE_0217,38.75126218889553,-98.58997069424166,Pacific,Suburban,5G SA,n71 (600MHz),Medium,"CELL_00909,CELL_01056,CELL_00292,CELL_00389,CELL_00093,CELL_01342,CELL_00243,CELL_00177",Active
CELL_00345,eNB_0013,Site_3287_Sector_2,SITE_0349,36.00433945512097,-123.78999699414155,Southwest,Suburban,LTE,Band 4 (AWS),Medium,"CELL_00483,CELL_00844,CELL_00395,CELL_01409,CELL_01450,CELL_00124,CELL_00462",Active
CELL_00346,eNB_0078,Site_8988_Sector_1,SITE_0500,35.945698376682294,-123.08463807810881,West,Highway,5G SA,Band 4 (AWS),Medium,"CELL_00668,CELL_00676,CELL_01298,CELL_00722",Active
CELL_00347,eNB_0095,Site_3066_Sector_2,SITE_0464,41.558889494959736,-68.6387899955437,Northeast,Urban,LTE,n71 (600MHz),Low,"CELL_00577,CELL_01106,CELL_00673",Active
CELL_00348,eNB_0090,Site_8130_Sector_3,SITE_0341,25.6246663634605,-73.71304085250343,West,Rural,5G NSA,Band 12 (700MHz),Low,"CELL_00723,CELL_01380,CELL_01494,CELL_00428,CELL_00526,CELL_01326,CELL_00398,CELL_00068",Active
CELL_00349,eNB_0070,Site_5066_Sector_2,SITE_0037,25.042239582674913,-79.97979826358687,Southwest,Urban,LTE,Band 71 (600MHz),Low,"CELL_00772,CELL_00371,CELL_00831,CELL_00722",Active
CELL_00350,eNB_0176,Site_7736_Sector_2,SITE_0513,45.581002817914715,-114.0460320390565,Northeast,Suburban,5G SA,Band 4 (AWS),Very High,"CELL_00372,CELL_00242,CELL_01276,CELL_01104,CELL_00817,CELL_00308",Active
CELL_00351,eNB_0128,Site_2304_Sector_2,SITE_0118,25.015657020833913,-106.00732116235837,Pacific,Urban,LTE,Band 66 (AWS-3),Very High,"CELL_00343,CELL_01002,CELL_00810,CELL_00884,CELL_00372,CELL_00682,CELL_01190,CELL_00246",Active
CELL_00352,eNB_0136,Site_3981_Sector_1,SITE_0537,44.75434907825633,-106.86868864452036,Southwest,Dense Urban,LTE,Band 2 (1900MHz),High,"CELL_00941,CELL_01493,CELL_00004,CELL_01333,CELL_00031,CELL_01392",Active
CELL_00353,eNB_0101,Site_5659_Sector_1,SITE_0052,32.76679106875254,-117.5792714416796,West,Urban,LTE,Band 2 (1900MHz),High,"CELL_00991,CELL_00899,CELL_00142,CELL_01274,CELL_00789,CELL_00761,CELL_00296,CELL_00033",Active
CELL_00354,eNB_0134,Site_4282_Sector_2,SITE_0272,27.870682912243918,-90.00656936600747,Southeast,Suburban,LTE,Band 12 (700MHz),Medium,"CELL_00766,CELL_01228,CELL_00927,CELL_01023,CELL_00388",Active
CELL_00355,eNB_0063,Site_3467_Sector_1,SITE_0013,33.97200394137283,-91.00204501982128,Southwest,Rural,LTE,Band 12 (700MHz),Very High,"CELL_00279,CELL_01032,CELL_00693,CELL_00126,CELL_01333,CELL_00414",Active
CELL_00356,eNB_0174,Site_8812_Sector_1,SITE_0452,29.553796460772826,-73.23117089446961,Southeast,Dense Urban,LTE,Band 4 (AWS),High,"CELL_00220,CELL_00786,CELL_01326",Active
CELL_00357,eNB_0181,Site_6744_Sector_1,SITE_0080,31.073213326089814,-76.11833022858752,Southwest,Suburban,5G NSA,n71 (600MHz),High,"CELL_01423,CELL_00804,CELL_00314",Active
CELL_00358,eNB_0158,Site_5054_Sector_2,SITE_0079,34.12942453773095,-109.9342313932171,West,Rural,5G NSA,Band 66 (AWS-3),High,"CELL_00614,CELL_01472,CELL_01182,CELL_00768,CELL_00850,CELL_00792",Active
CELL_00359,eNB_0065,Site_9431_Sector_3,SITE_0482,31.97776513222398,-122.52222137171054,West,Rural,LTE,Band 12 (700MHz),Very High,"CELL_00468,CELL_00373,CELL_00424,CELL_00296,CELL_01341,CELL_01060,CELL_01180",Active
CELL_00360,eNB_0055,Site_8968_Sector_2,SITE_0005,28.523419281180765,-73.18068783103503,West,Rural,5G NSA,Band 66 (AWS-3),Medium,"CELL_00089,CELL_00037,CELL_01234,CELL_01413",Active
CELL_00361,eNB_0177,Site_7613_Sector_3,SITE_0152,40.56104978628322,-92.20277270940866,Northeast,Dense Urban,LTE,Band 2 (1900MHz),Medium,"CELL_01327,CELL_00173,CELL_00226,CELL_00398,CELL_00735",Active
CELL_00362,eNB_0187,Site_5818_Sector_2,SITE_0193,44.09481196792013,-75.611958714683,Southwest,Highway,LTE,Band 71 (600MHz),Medium,"CELL_00692,CELL_00946,CELL_01285,CELL_01419,CELL_00894,CELL_00134",Active
CELL_00363,eNB_0029,Site_1421_Sector_3,SITE_0042,34.20501839442457,-116.72628421320519,Pacific,Rural,5G NSA,Band 4 (AWS),High,"CELL_00047,CELL_01001,CELL_00513,CELL_00904,CELL_00519,CELL_01396",Active
CELL_00364,eNB_0052,Site_2877_Sector_1,SITE_0351,40.02213618648045,-107.15631701458136,West,Rural,5G NSA,Band 4 (AWS),High,"CELL_01168,CELL_00349,CELL_01281,CELL_01492,CELL_01386,CELL_00880,CELL_01188",Active
CELL_00365,eNB_0180,Site_8733_Sector_3,SITE_0131,28.783707293882202,-79.0599579240262,Pacific,Urban,LTE,Band 2 (1900MHz),High,"CELL_00100,CELL_01011,CELL_00157,CELL_01275,CELL_00702,CELL_00498,CELL_00639,CELL_00814",Active
CELL_00366,eNB_0035,Site_4492_Sector_3,SITE_0307,48.480637916027575,-72.2561471592459,Midwest,Dense Urban,LTE,n41 (2.5GHz),High,"CELL_00306,CELL_01120,CELL_00638,CELL_00900,CELL_00079",Active
CELL_00367,eNB_0117,Site_9753_Sector_1,SITE_0299,28.063254890321147,-87.37193320326286,Pacific,Highway,LTE,n71 (600MHz),Medium,"CELL_00930,CELL_01063,CELL_01113,CELL_01405,CELL_00697,CELL_00917,CELL_00368",Degraded
CELL_00368,eNB_0044,Site_6035_Sector_2,SITE_0260,30.81826532857375,-111.10663995708649,Pacific,Dense Urban,LTE,n41 (2.5GHz),High,"CELL_00155,CELL_00405,CELL_00785,CELL_00116,CELL_00363,CELL_00583",Active
CELL_00369,eNB_0022,Site_3995_Sector_3,SITE_0222,31.751067343988183,-82.13802410768233,Southwest,Rural,5G NSA,n41 (2.5GHz),Very High,"CELL_00605,CELL_01104,CELL_00777,CELL_01313,CELL_00417,CELL_00946",Active
CELL_00370,eNB_0185,Site_8113_Sector_3,SITE_0578,33.38695337379796,-96.54600719253442,Southeast,Rural,LTE,Band 2 (1900MHz),Medium,"CELL_00866,CELL_00078,CELL_00410,CELL_00481,CELL_00430,CELL_01032",Active
CELL_00371,eNB_0115,Site_6413_Sector_2,SITE_0407,30.40172998267113,-95.46706100976485,West,Suburban,LTE,n41 (2.5GHz),Medium,"CELL_00415,CELL_01162,CELL_01383,CELL_00856,CELL_00157,CELL_01427,CELL_01404",Active
CELL_00372,eNB_0178,Site_3145_Sector_3,SITE_0011,38.96645667160105,-113.22193144402564,Midwest,Urban,LTE,Band 71 (600MHz),High,"CELL_00469,CELL_00147,CELL_00026,CELL_00057,CELL_00186",Active
CELL_00373,eNB_0005,Site_3156_Sector_1,SITE_0571,42.66662769028793,-97.8481421396868,Pacific,Rural,5G SA,Band 12 (700MHz),High,"CELL_00090,CELL_00447,CELL_01408,CELL_01297,CELL_00051",Active
CELL_00374,eNB_0026,Site_3305_Sector_3,SITE_0230,32.097919002192434,-69.4668333983637,Pacific,Suburban,5G SA,Band 12 (700MHz),Medium,"CELL_00257,CELL_00346,CELL_00243,CELL_00218,CELL_00608,CELL_01449,CELL_00276,CELL_01196",Active
CELL_00375,eNB_0058,Site_9983_Sector_2,SITE_0459,30.455975154289106,-92.66454100543925,Pacific,Rural,5G NSA,n41 (2.5GHz),Very High,"CELL_01075,CELL_00921,CELL_01322",Active
CELL_00376,eNB_0080,Site_2498_Sector_2,SITE_0460,47.05025010120623,-98.99055989901854,Southwest,Dense Urban,5G NSA,Band 71 (600MHz),High,"CELL_00238,CELL_01448,CELL_00415,CELL_01172,CELL_00176,CELL_00828,CELL_00003,CELL_00556",Active
CELL_00377,eNB_0157,Site_1881_Sector_3,SITE_0197,47.24599172476806,-77.87907317245038,Pacific,Rural,5G SA,Band 12 (700MHz),Low,"CELL_01245,CELL_01323,CELL_00799",Active
CELL_00378,eNB_0195,Site_3772_Sector_2,SITE_0469,27.917587944185478,-67.18066892329729,Midwest,Dense Urban,5G NSA,n41 (2.5GHz),Medium,"CELL_00325,CELL_01329,CELL_00250,CELL_00513",Active
CELL_00379,eNB_0078,Site_2985_Sector_2,SITE_0448,41.77858507030427,-107.19923289252326,Southwest,Highway,5G SA,Band 71 (600MHz),High,"CELL_01053,CELL_00099,CELL_01007,CELL_00920",Active
CELL_00380,eNB_0001,Site_1423_Sector_2,SITE_0407,39.35203631131259,-124.50851114238964,Pacific,Highway,LTE,Band 4 (AWS),Very High,"CELL_00157,CELL_00962,CELL_00170,CELL_01104",Active
CELL_00381,eNB_0003,Site_4532_Sector_3,SITE_0440,29.786324239184566,-83.58854013664693,Southeast,Urban,5G NSA,n71 (600MHz),Medium,"CELL_00335,CELL_00628,CELL_00633,CELL_00091,CELL_00726",Active
CELL_00382,eNB_0037,Site_3267_Sector_3,SITE_0305,27.836172041402442,-98.39994245225834,Southwest,Highway,LTE,Band 71 (600MHz),High,"CELL_00005,CELL_01176,CELL_00031",Active
CELL_00383,eNB_0100,Site_6848_Sector_3,SITE_0187,47.722640868000866,-109.41506305396746,West,Dense Urban,LTE,Band 4 (AWS),Low,"CELL_01335,CELL_00784,CELL_00959,CELL_00626,CELL_00988",Degraded
CELL_00384,eNB_0148,Site_4117_Sector_1,SITE_0332,40.97434672686102,-67.10511010074582,Southeast,Dense Urban,5G SA,Band 71 (600MHz),Medium,"CELL_00555,CELL_01438,CELL_01019,CELL_00689",Active
CELL_00385,eNB_0119,Site_2253_Sector_1,SITE_0191,40.97381397017953,-71.53563308322066,West,Dense Urban,LTE,Band 66 (AWS-3),Medium,"CELL_00627,CELL_01304,CELL_00141,CELL_01173,CELL_00921,CELL_01122,CELL_01176",Active
CELL_00386,eNB_0097,Site_1325_Sector_1,SITE_0417,39.683557018165494,-88.1114987840105,West,Dense Urban,LTE,Band 2 (1900MHz),High,"CELL_00755,CELL_01414,CELL_00002,CELL_01210,CELL_00154,CELL_01075,CELL_00506,CELL_01391",Active
CELL_00387,eNB_0011,Site_5341_Sector_1,SITE_0466,31.39159530580632,-102.07875817066301,Southwest,Suburban,5G NSA,n71 (600MHz),High,"CELL_01025,CELL_01032,CELL_01485,CELL_00272,CELL_01100,CELL_00008",Active
CELL_00388,eNB_0145,Site_9187_Sector_1,SITE_0187,34.281364684832106,-116.18202296476699,Northeast,Urban,5G SA,n71 (600MHz),High,"CELL_01343,CELL_00393,CELL_00032,CELL_01369,CELL_01262,CELL_00260,CELL_00845,CELL_00379",Active
CELL_00389,eNB_0160,Site_8833_Sector_1,SITE_0441,33.642133875142314,-120.85162281426196,Pacific,Rural,5G NSA,n71 (600MHz),High,"CELL_00668,CELL_00933,CELL_00039,CELL_00552",Active
CELL_00390,eNB_0058,Site_4137_Sector_3,SITE_0099,29.165040243304436,-111.30609279872635,Southeast,Highway,5G SA,n41 (2.5GHz),Low,"CELL_00381,CELL_00654,CELL_00630,CELL_00948,CELL_00714,CELL_00627,CELL_00934",Active
CELL_00391,eNB_0016,Site_9148_Sector_1,SITE_0499,40.29772283787918,-69.11477144523977,Midwest,Highway,LTE,n71 (600MHz),Very High,"CELL_01021,CELL_00180,CELL_00561,CELL_00871,CELL_00657,CELL_00277,CELL_00370,CELL_01437",Active
CELL_00392,eNB_0136,Site_7613_Sector_2,SITE_0364,46.64601090259178,-70.96472032420945,Southeast,Highway,LTE,Band 66 (AWS-3),Medium,"CELL_00020,CELL_00150,CELL_00967,CELL_01054,CELL_00854,CELL_00759,CELL_00024",Active
CELL_00393,eNB_0094,Site_2510_Sector_1,SITE_0029,25.593087682244082,-76.94190597456267,Southeast,Suburban,LTE,Band 2 (1900MHz),Medium,"CELL_01005,CELL_00168,CELL_00209,CELL_00273",Degraded
CELL_00394,eNB_0036,Site_6787_Sector_1,SITE_0445,36.3898136173806,-90.86612484664717,Southwest,Dense Urban,5G NSA,Band 71 (600MHz),Low,"CELL_00811,CELL_00336,CELL_00533,CELL_00465,CELL_00890,CELL_00431",Active
CELL_00395,eNB_0120,Site_3118_Sector_1,SITE_0407,31.8974694379428,-77.24025607785097,Pacific,Dense Urban,LTE,Band 2 (1900MHz),High,"CELL_00785,CELL_00307,CELL_00630",Active
CELL_00396,eNB_0082,Site_9345_Sector_2,SITE_0190,39.3774877392299,-88.4274229351782,Southwest,Rural,LTE,Band 4 (AWS),High,"CELL_00831,CELL_00110,CELL_01251",Active
CELL_00397,eNB_0146,Site_9207_Sector_3,SITE_0415,48.32633871515583,-96.64864960460069,Pacific,Urban,LTE,n41 (2.5GHz),High,"CELL_00829,CELL_00037,CELL_00886,CELL_01078,CELL_01493,CELL_00066,CELL_01268,CELL_01206",Active
CELL_00398,eNB_0134,Site_6515_Sector_1,SITE_0251,29.66264928290149,-90.7767672129633,West,Highway,5G NSA,Band 66 (AWS-3),High,"CELL_01196,CELL_00091,CELL_01202,CELL_00071",Active
CELL_00399,eNB_0105,Site_6541_Sector_1,SITE_0587,35.21479555895652,-115.58062571042827,West,Rural,5G NSA,Band 71 (600MHz),Medium,"CELL_00115,CELL_01435,CELL_00585,CELL_00345,CELL_00106,CELL_00688",Active
CELL_00400,eNB_0149,Site_1097_Sector_2,SITE_0083,38.518713484240024,-113.00885197090722,Southwest,Rural,5G SA,Band 2 (1900MHz),Very High,"CELL_00777,CELL_01456,CELL_01393,CELL_01062",Active
CELL_00401,eNB_0191,Site_8790_Sector_3,SITE_0419,38.78702832188849,-74.94805180393692,West,Rural,5G NSA,Band 2 (1900MHz),High,"CELL_00843,CELL_00812,CELL_00164,CELL_00461,CELL_01196",Active
CELL_00402,eNB_0108,Site_6853_Sector_3,SITE_0146,45.83640498111068,-75.15091279366841,Midwest,Urban,5G NSA,Band 66 (AWS-3),Very High,"CELL_00055,CELL_00091,CELL_00813,CELL_00312",Active
CELL_00403,eNB_0079,Site_4934_Sector_3,SITE_0567,30.12016475145854,-88.38186926215097,Southwest,Dense Urban,5G SA,Band 66 (AWS-3),Low,"CELL_01211,CELL_01355,CELL_00362,CELL_00710,CELL_01451,CELL_00138,CELL_00987,CELL_00339",Active
CELL_00404,eNB_0059,Site_8238_Sector_2,SITE_0213,26.16084471804256,-89.64492691596145,Northeast,Suburban,5G SA,Band 71 (600MHz),High,"CELL_00195,CELL_01368,CELL_00007",Active
CELL_00405,eNB_0136,Site_7564_Sector_1,SITE_0117,30.245915443280943,-93.0377505062911,Pacific,Highway,5G SA,Band 66 (AWS-3),Medium,"CELL_00217,CELL_00320,CELL_00776,CELL_00190,CELL_00662,CELL_00869,CELL_00374",Active
CELL_00406,eNB_0146,Site_4663_Sector_3,SITE_0083,48.55917804599207,-112.05008939422109,Pacific,Urban,LTE,Band 66 (AWS-3),High,"CELL_01349,CELL_01198,CELL_01451,CELL_00898,CELL_01289",Active
CELL_00407,eNB_0189,Site_6129_Sector_1,SITE_0210,26.04579114951661,-66.26030070338398,Southwest,Suburban,LTE,Band 4 (AWS),Medium,"CELL_01439,CELL_00432,CELL_00057,CELL_00214,CELL_00538,CELL_00995,CELL_01257",Maintenance
CELL_00408,eNB_0042,Site_8440_Sector_3,SITE_0235,31.540753418161316,-117.72989664353626,West,Highway,LTE,n41 (2.5GHz),Medium,"CELL_01144,CELL_00095,CELL_00067,CELL_01363,CELL_00712,CELL_00500",Active
CELL_00409,eNB_0160,Site_2870_Sector_3,SITE_0484,39.41321435935541,-86.1289317331447,Pacific,Suburban,LTE,Band 4 (AWS),Medium,"CELL_00428,CELL_00947,CELL_00026,CELL_00857,CELL_01447,CELL_01428,CELL_00917",Active
CELL_00410,eNB_0062,Site_2916_Sector_3,SITE_0543,38.72497321215418,-83.099615368938,Southeast,Dense Urban,LTE,n71 (600MHz),Medium,"CELL_00347,CELL_00892,CELL_00818,CELL_00428,CELL_00184",Active
CELL_00411,eNB_0014,Site_1801_Sector_3,SITE_0417,44.00361313701989,-79.50070972673905,Pacific,Highway,LTE,n41 (2.5GHz),Medium,"CELL_00296,CELL_01145,CELL_00232",Active
CELL_00412,eNB_0183,Site_9515_Sector_3,SITE_0176,25.97981491682221,-79.58472812197539,Pacific,Suburban,LTE,Band 66 (AWS-3),Medium,"CELL_00412,CELL_00860,CELL_00497,CELL_00387",Active
CELL_00413,eNB_0189,Site_1078_Sector_3,SITE_0209,31.793799284731257,-67.56895821881838,Southwest,Urban,5G SA,Band 66 (AWS-3),High,"CELL_00855,CELL_00496,CELL_00903,CELL_00755,CELL_01157,CELL_01291",Active
CELL_00414,eNB_0188,Site_8308_Sector_1,SITE_0415,45.62650655499377,-88.22824863726115,Southeast,Suburban,5G SA,n41 (2.5GHz),High,"CELL_00704,CELL_01491,CELL_00685,CELL_01187,CELL_00908",Active
CELL_00415,eNB_0104,Site_4774_Sector_1,SITE_0270,35.635159371478096,-71.86554135379305,Southeast,Urban,5G SA,Band 71 (600MHz),Low,"CELL_01180,CELL_01477,CELL_00585",Active
CELL_00416,eNB_0146,Site_5718_Sector_3,SITE_0128,26.98552137739467,-91.16722190934064,Northeast,Highway,LTE,Band 4 (AWS),High,"CELL_00533,CELL_00315,CELL_00230,CELL_01115,CELL_00190,CELL_01386,CELL_01198",Active
CELL_00417,eNB_0035,Site_9772_Sector_1,SITE_0397,41.42416292691388,-93.17298846315896,West,Rural,LTE,Band 71 (600MHz),High,"CELL_01051,CELL_00077,CELL_00216",Active
CELL_00418,eNB_0196,Site_2517_Sector_3,SITE_0118,37.49849590942716,-81.05754454127475,Southwest,Highway,5G NSA,n71 (600MHz),Low,"CELL_01371,CELL_00579,CELL_00384,CELL_00259,CELL_01179,CELL_00385,CELL_00951,CELL_00757",Active
CELL_00419,eNB_0181,Site_8371_Sector_3,SITE_0394,38.991485470540674,-104.78076524756548,Northeast,Highway,5G SA,Band 2 (1900MHz),High,"CELL_00092,CELL_00599,CELL_00618,CELL_00220,CELL_00344,CELL_00350",Degraded
CELL_00420,eNB_0006,Site_2510_Sector_2,SITE_0561,43.741518339670804,-74.1082218216728,Pacific,Highway,5G NSA,n41 (2.5GHz),High,"CELL_00741,CELL_01346,CELL_00035,CELL_00597,CELL_00267,CELL_01116,CELL_01250,CELL_00485",Active
CELL_00421,eNB_0131,Site_4460_Sector_3,SITE_0032,37.69849493108009,-66.62338178994627,Northeast,Rural,5G NSA,Band 2 (1900MHz),High,"CELL_00657,CELL_00053,CELL_01394,CELL_01041,CELL_00179,CELL_01421,CELL_01133",Active
CELL_00422,eNB_0029,Site_8769_Sector_2,SITE_0361,35.06941902065346,-79.09615143747678,West,Urban,5G NSA,n41 (2.5GHz),Low,"CELL_01435,CELL_00367,CELL_00630,CELL_01136,CELL_00543,CELL_00684",Active
CELL_00423,eNB_0104,Site_7585_Sector_3,SITE_0458,26.647830017558988,-70.66978962731538,Midwest,Rural,5G SA,Band 71 (600MHz),High,"CELL_00616,CELL_01302,CELL_01318,CELL_01134,CELL_01068",Active
CELL_00424,eNB_0112,Site_3017_Sector_1,SITE_0052,34.768610045681214,-115.7039945618121,Midwest,Highway,5G SA,n71 (600MHz),High,"CELL_00099,CELL_00430,CELL_00882,CELL_01421,CELL_00401,CELL_00974",Active
CELL_00425,eNB_0148,Site_2341_Sector_1,SITE_0470,27.830392792994953,-75.41832877391565,West,Suburban,LTE,Band 4 (AWS),Very High,"CELL_01319,CELL_00239,CELL_00382,CELL_01119,CELL_00440,CELL_01394",Active
CELL_00426,eNB_0077,Site_3415_Sector_2,SITE_0396,38.39390031430658,-96.68778430637482,Northeast,Dense Urban,LTE,Band 66 (AWS-3),High,"CELL_01095,CELL_00497,CELL_01006,CELL_00495",Active
CELL_00427,eNB_0169,Site_2980_Sector_2,SITE_0087,26.860457456802294,-103.83145738282684,Northeast,Rural,LTE,Band 66 (AWS-3),Medium,"CELL_01082,CELL_01000,CELL_00058,CELL_00823,CELL_00589,CELL_00582,CELL_00975,CELL_01348",Active
CELL_00428,eNB_0066,Site_8923_Sector_1,SITE_0519,34.23034692156448,-90.4916303342774,Southwest,Urban,LTE,n41 (2.5GHz),High,"CELL_00003,CELL_01492,CELL_01101",Active
CELL_00429,eNB_0010,Site_3470_Sector_2,SITE_0268,46.86682844079691,-78.44083931491218,Northeast,Suburban,5G SA,n41 (2.5GHz),High,"CELL_01235,CELL_00726,CELL_00025,CELL_01004",Active
CELL_00430,eNB_0051,Site_1124_Sector_3,SITE_0429,33.1555839138934,-84.55995572779372,Pacific,Rural,LTE,n41 (2.5GHz),Medium,"CELL_00584,CELL_00196,CELL_00074,CELL_01227,CELL_00106",Active
CELL_00431,eNB_0088,Site_5937_Sector_2,SITE_0193,39.24423976330912,-69.2735188000788,Pacific,Dense Urban,5G NSA,Band 2 (1900MHz),Medium,"CELL_00900,CELL_01082,CELL_01367,CELL_01079,CELL_00893",Active
