event_id,@timestamp,imsi,mme_host,cell_id,procedure_type,failure_code,serving_plmn,tracking_area_code,failure_description,signaling_message_type,attach_attempt,handover_attempt,authentication_attempt,source_cell_id,target_cell_id
EVT-00000771,2025-11-12 05:38:33.973878,3102601000000649,mme-05.tmobile.net,CELL-0010,Service Request,S1AP-201,310-490,TAC-1791,Service request timeout - network congestion,Attach Accept,False,False,False,None,None
EVT-00000772,2025-11-12 08:13:23.973878,3102601000000460,mme-05.tmobile.net,CELL-0069,TAU,NAS-302,310-260,TAC-6651,Service request timeout - HSS sync failure,Attach Accept,False,False,False,None,None
EVT-00000773,2025-11-12 05:53:40.973878,3102601000000439,mme-05.tmobile.net,CELL-0078,TAU,S1AP-201,310-260,TAC-1630,Resource exhaustion on mme-05.tmobile.net - software bug,S1 Setup Request,False,False,False,None,None
EVT-00000774,2025-11-12 05:50:07.973878,3102601000000531,mme-05.tmobile.net,CELL-0067,Service Request,NAS-302,310-260,TAC-2420,Signaling storm detected - cell overload,Initial UE Message,False,False,False,None,None
EVT-00000775,2025-11-12 09:06:44.973878,3102601000000602,mme-05.tmobile.net,CELL-0001,Attach,S1AP-201,310-490,TAC-5747,Attach rejected due to invalid subscriber data on MME mme-05.tmobile.net,TAU Accept,True,False,False,None,None
EVT-00000776,2025-11-12 08:03:33.973878,3102601000000693,mme-05.tmobile.net,CELL-0078,Attach,EMM-003,310-490,TAC-6028,Attach rejected due to network congestion on MME mme-05.tmobile.net,Path Switch Request,True,False,False,None,None
EVT-00000777,2025-11-12 09:01:30.973878,3102601000000640,mme-05.tmobile.net,CELL-0022,TAU,NAS-302,310-260,TAC-9328,Bearer modification rejected - security check failed,Uplink NAS Transport,False,False,False,None,None
EVT-00000778,2025-11-12 08:04:20.973878,3102601000000469,mme-05.tmobile.net,CELL-0033,TAU,S1AP-201,310-800,TAC-8790,Service request timeout - insufficient resources,Handover Required,False,False,False,None,None
EVT-00000779,2025-11-12 06:29:29.973878,3102601000000736,mme-05.tmobile.net,CELL-0063,TAU,NAS-302,310-490,TAC-5969,Handover failure from CELL-0063 to CELL-0063 - cell overload,Handover Required,False,False,False,None,None
EVT-00000780,2025-11-12 05:30:26.973878,3102601000000615,mme-05.tmobile.net,CELL-0047,TAU,NAS-302,310-260,TAC-4972,Bearer modification rejected - signaling timeout,TAU Accept,False,False,False,None,None
EVT-00000781,2025-11-12 07:52:41.973878,3102601000000169,mme-05.tmobile.net,CELL-0052,Attach,S1AP-201,310-260,TAC-2966,HSS unreachable during Attach - database sync issue,Uplink NAS Transport,True,False,False,None,None
EVT-00000782,2025-11-12 06:49:56.973878,3102601000000025,mme-05.tmobile.net,CELL-0063,TAU,NAS-302,310-490,TAC-3562,HSS unreachable during TAU - database sync issue,Initial UE Message,False,False,False,None,None
EVT-00000783,2025-11-12 08:16:40.973878,3102601000000378,mme-05.tmobile.net,CELL-0033,TAU,NAS-302,310-260,TAC-8518,Resource exhaustion on mme-05.tmobile.net - software bug,Authentication Request,False,False,False,None,None
EVT-00000784,2025-11-12 05:49:38.973878,3102601000000768,mme-05.tmobile.net,CELL-0069,TAU,EMM-003,310-490,TAC-2781,Attach rejected due to invalid subscriber data on MME mme-05.tmobile.net,Initial UE Message,False,False,False,None,None
EVT-00000785,2025-11-12 09:09:30.973878,3102601000000649,mme-05.tmobile.net,CELL-0047,TAU,NAS-302,310-260,TAC-5706,Bearer modification rejected - roaming restriction,Handover Required,False,False,False,None,None
EVT-00000786,2025-11-12 08:34:52.973878,3102601000000407,mme-05.tmobile.net,CELL-0007,TAU,S1AP-201,310-490,TAC-7696,Handover failure from CELL-0007 to CELL-0007 - HSS sync failure,Authentication Request,False,False,False,None,None
EVT-00000787,2025-11-12 09:02:41.973878,3102601000000103,mme-05.tmobile.net,CELL-0069,TAU,S1AP-201,310-260,TAC-6368,TAU rejected - invalid subscriber data,Authentication Request,False,False,False,None,None
EVT-00000788,2025-11-12 09:02:56.973878,3102601000000478,mme-05.tmobile.net,CELL-0024,Service Request,S1AP-201,310-260,TAC-2478,Resource exhaustion on mme-05.tmobile.net - database corruption,S1 Setup Request,False,False,False,None,None
EVT-00000789,2025-11-12 06:52:02.973878,3102601000000177,mme-05.tmobile.net,CELL-0078,Service Request,EMM-003,310-260,TAC-5274,Signaling storm detected - cell overload,S1 Setup Request,False,False,False,None,None
EVT-00000790,2025-11-12 09:18:43.973878,3102601000000233,mme-05.tmobile.net,CELL-0001,TAU,EMM-003,310-490,TAC-5020,Service request timeout - authentication timeout,Uplink NAS Transport,False,False,False,None,None
EVT-00000791,2025-11-12 07:47:27.973878,3102601000000602,mme-05.tmobile.net,CELL-0033,Service Request,NAS-302,310-490,TAC-2586,PDN connectivity failure - network congestion,S1 Setup Request,False,False,False,None,None
EVT-00000792,2025-11-12 07:28:44.973878,3102601000000486,mme-05.tmobile.net,CELL-0032,Attach,S1AP-201,310-260,TAC-3172,Bearer modification rejected - authentication timeout,Attach Accept,True,False,False,None,None
EVT-00000793,2025-11-12 09:16:55.973878,3102601000000759,mme-05.tmobile.net,CELL-0069,TAU,EMM-003,310-260,TAC-9368,Attach rejected due to cell overload on MME mme-05.tmobile.net,Downlink NAS Transport,False,False,False,None,None
EVT-00000794,2025-11-12 07:18:19.973878,3102601000000582,mme-05.tmobile.net,CELL-0078,Service Request,EMM-003,310-800,TAC-5549,TAU rejected - invalid subscriber data,Path Switch Request,False,False,False,None,None
EVT-00000795,2025-11-12 06:34:28.973878,3102601000000025,mme-05.tmobile.net,CELL-0067,TAU,EMM-003,310-260,TAC-8919,Handover failure from CELL-0067 to CELL-0067 - roaming restriction,Initial UE Message,False,False,False,None,None
EVT-00000796,2025-11-12 05:31:18.973878,3102601000000103,mme-05.tmobile.net,CELL-0007,Attach,S1AP-201,310-260,TAC-8455,PDN connectivity failure - roaming restriction,Uplink NAS Transport,True,False,False,None,None
EVT-00000797,2025-11-12 08:47:28.973878,3102601000000626,mme-05.tmobile.net,CELL-0052,TAU,NAS-302,310-260,TAC-2506,Bearer modification rejected - HSS sync failure,Handover Required,False,False,False,None,None
EVT-00000798,2025-11-12 08:04:59.973878,3102601000000259,mme-05.tmobile.net,CELL-0025,TAU,EMM-003,310-260,TAC-4572,TAU rejected - security check failed,Handover Required,False,False,False,None,None
EVT-00000799,2025-11-12 06:14:20.973878,3102601000000166,mme-05.tmobile.net,CELL-0047,Service Request,S1AP-201,310-490,TAC-8871,Attach rejected due to roaming restriction on MME mme-05.tmobile.net,Downlink NAS Transport,False,False,False,None,None
EVT-00000800,2025-11-12 06:17:17.973878,3102601000000250,mme-05.tmobile.net,CELL-0025,TAU,S1AP-201,310-800,TAC-1177,Bearer modification rejected - authentication timeout,Handover Required,False,False,False,None,None
EVT-00000801,2025-11-12 08:11:20.973878,3102601000000062,mme-05.tmobile.net,CELL-0032,Attach,NAS-302,310-260,TAC-1040,Resource exhaustion on mme-05.tmobile.net - network congestion,Uplink NAS Transport,True,False,False,None,None
EVT-00000802,2025-11-12 06:23:01.973878,3102601000000646,mme-05.tmobile.net,CELL-0052,Service Request,S1AP-201,310-260,TAC-1573,TAU rejected - HSS sync failure,Uplink NAS Transport,False,False,False,None,None
EVT-00000803,2025-11-12 08:52:44.973878,3102601000000612,mme-05.tmobile.net,CELL-0025,TAU,NAS-302,310-490,TAC-5584,PDN connectivity failure - network congestion,Uplink NAS Transport,False,False,False,None,None
EVT-00000804,2025-11-12 06:52:24.973878,3102601000000460,mme-05.tmobile.net,CELL-0032,TAU,S1AP-201,310-260,TAC-9159,HSS unreachable during TAU - database sync issue,Handover Required,False,False,False,None,None
EVT-00000805,2025-11-12 09:18:09.973878,3102601000000203,mme-05.tmobile.net,CELL-0010,TAU,S1AP-201,310-260,TAC-5860,Bearer modification rejected - signaling timeout,Authentication Request,False,False,False,None,None
EVT-00000806,2025-11-12 06:39:01.973878,3102601000000469,mme-05.tmobile.net,CELL-0013,Service Request,S1AP-201,310-260,TAC-1011,Handover failure from CELL-0013 to CELL-0013 - insufficient resources,Handover Required,False,False,False,None,None
EVT-00000807,2025-11-12 08:06:55.973878,3102601000000112,mme-05.tmobile.net,CELL-0052,Attach,S1AP-201,310-260,TAC-3418,HSS unreachable during Attach - database sync issue,Handover Required,True,False,False,None,None
EVT-00000808,2025-11-12 06:04:57.973878,3102601000000428,mme-05.tmobile.net,CELL-0013,Service Request,NAS-302,310-260,TAC-6788,TAU rejected - invalid subscriber data,Attach Accept,False,False,False,None,None
EVT-00000809,2025-11-12 06:31:51.973878,3102601000000353,mme-05.tmobile.net,CELL-0069,Service Request,EMM-003,310-260,TAC-4604,Attach rejected due to cell overload on MME mme-05.tmobile.net,Path Switch Request,False,False,False,None,None
EVT-00000810,2025-11-12 08:06:18.973878,3102601000000203,mme-05.tmobile.net,CELL-0047,Service Request,NAS-302,310-260,TAC-8740,Handover failure from CELL-0047 to CELL-0047 - authentication timeout,Attach Accept,False,False,False,None,None
EVT-00000811,2025-11-12 07:47:13.973878,3102601000000636,mme-05.tmobile.net,CELL-0067,Service Request,S1AP-201,310-490,TAC-7982,Service request timeout - HSS sync failure,Downlink NAS Transport,False,False,False,None,None
EVT-00000812,2025-11-12 07:54:56.973878,3102601000000612,mme-05.tmobile.net,CELL-0007,TAU,S1AP-201,310-260,TAC-8348,Authentication failure for subscriber - database corruption,Uplink NAS Transport,False,False,False,None,None
EVT-00000813,2025-11-12 06:44:31.973878,3102601000000553,mme-05.tmobile.net,CELL-0001,TAU,EMM-003,310-260,TAC-7179,TAU rejected - invalid subscriber data,S1 Setup Request,False,False,False,None,None
EVT-00000814,2025-11-12 06:34:44.973878,3102601000000727,mme-05.tmobile.net,CELL-0063,Attach,S1AP-201,310-260,TAC-3643,Resource exhaustion on mme-05.tmobile.net - software bug,Downlink NAS Transport,True,False,False,None,None
EVT-00000815,2025-11-12 07:47:21.973878,3102601000000469,mme-05.tmobile.net,CELL-0032,Attach,S1AP-201,310-800,TAC-5991,Bearer modification rejected - invalid subscriber data,Downlink NAS Transport,True,False,False,None,None
EVT-00000816,2025-11-12 05:23:58.973878,3102601000000259,mme-05.tmobile.net,CELL-0078,TAU,EMM-003,310-490,TAC-1874,PDN connectivity failure - signaling timeout,Authentication Request,False,False,False,None,None
EVT-00000817,2025-11-12 06:56:13.973878,3102601000000169,mme-05.tmobile.net,CELL-0010,TAU,S1AP-201,310-260,TAC-4434,Authentication failure for subscriber - hardware failure,TAU Accept,False,False,False,None,None
EVT-00000818,2025-11-12 07:42:54.973878,3102601000000390,mme-05.tmobile.net,CELL-0067,TAU,EMM-003,310-260,TAC-1670,Authentication failure for subscriber - signaling timeout,Downlink NAS Transport,False,False,False,None,None
EVT-00000819,2025-11-12 08:40:52.973878,3102601000000602,mme-05.tmobile.net,CELL-0007,TAU,NAS-302,310-260,TAC-4779,TAU rejected - HSS sync failure,Initial UE Message,False,False,False,None,None
EVT-00000820,2025-11-12 05:32:03.973878,3102601000000668,mme-05.tmobile.net,CELL-0013,TAU,EMM-003,310-800,TAC-6133,Handover failure from CELL-0013 to CELL-0013 - invalid subscriber data,Downlink NAS Transport,False,False,False,None,None
EVT-00000821,2025-11-12 08:56:50.973878,3102601000000554,mme-05.tmobile.net,CELL-0013,Attach,NAS-302,310-260,TAC-2949,Handover failure from CELL-0013 to CELL-0013 - roaming restriction,Downlink NAS Transport,True,False,False,None,None
EVT-00000822,2025-11-12 07:55:13.973878,3102601000000004,mme-05.tmobile.net,CELL-0013,Service Request,S1AP-201,310-260,TAC-4968,Resource exhaustion on mme-05.tmobile.net - hardware failure,Uplink NAS Transport,False,False,False,None,None
EVT-00000823,2025-11-12 06:22:27.973878,3102601000000555,mme-05.tmobile.net,CELL-0032,Attach,NAS-302,310-260,TAC-3193,HSS unreachable during Attach - database sync issue,Initial UE Message,True,False,False,None,None
EVT-00000824,2025-11-12 07:24:35.973878,3102601000000407,mme-05.tmobile.net,CELL-0069,Service Request,S1AP-201,310-260,TAC-2084,HSS unreachable during Service Request - database sync issue,TAU Accept,False,False,False,None,None
EVT-00000825,2025-11-12 07:27:25.973878,3102601000000295,mme-05.tmobile.net,CELL-0047,Service Request,S1AP-201,310-260,TAC-2098,Bearer modification rejected - database corruption,Uplink NAS Transport,False,False,False,None,None
EVT-00000826,2025-11-12 08:16:52.973878,3102601000000492,mme-05.tmobile.net,CELL-0013,Service Request,S1AP-201,310-260,TAC-1315,PDN connectivity failure - network congestion,Authentication Request,False,False,False,None,None
EVT-00000827,2025-11-12 06:43:38.973878,3102601000000640,mme-05.tmobile.net,CELL-0013,Service Request,NAS-302,310-800,TAC-2328,Resource exhaustion on mme-05.tmobile.net - database corruption,Uplink NAS Transport,False,False,False,None,None
EVT-00000828,2025-11-12 08:12:31.973878,3102601000000407,mme-05.tmobile.net,CELL-0007,Attach,NAS-302,310-260,TAC-4152,Attach rejected due to signaling timeout on MME mme-05.tmobile.net,Uplink NAS Transport,True,False,False,None,None
EVT-00000829,2025-11-12 07:22:32.973878,3102601000000490,mme-05.tmobile.net,CELL-0063,TAU,EMM-003,310-260,TAC-3759,Authentication failure for subscriber - roaming restriction,S1 Setup Request,False,False,False,None,None
EVT-00000830,2025-11-12 07:58:15.973878,3102601000000423,mme-05.tmobile.net,CELL-0013,Attach,NAS-302,310-800,TAC-8259,Signaling storm detected - security check failed,Handover Required,True,False,False,None,None
EVT-00000831,2025-11-12 06:24:56.973878,3102601000000646,mme-05.tmobile.net,CELL-0047,Attach,EMM-003,310-490,TAC-1061,Handover failure from CELL-0047 to CELL-0047 - authentication timeout,Uplink NAS Transport,True,False,False,None,None
EVT-00000832,2025-11-12 08:11:43.973878,3102601000000531,mme-05.tmobile.net,CELL-0033,TAU,S1AP-201,310-260,TAC-2392,Resource exhaustion on mme-05.tmobile.net - security check failed,Path Switch Request,False,False,False,None,None
EVT-00000833,2025-11-12 05:59:17.973878,3102601000000768,mme-05.tmobile.net,CELL-0013,TAU,S1AP-201,310-260,TAC-3690,TAU rejected - invalid subscriber data,Attach Accept,False,False,False,None,None
EVT-00000834,2025-11-12 06:23:43.973878,3102601000000438,mme-05.tmobile.net,CELL-0025,Service Request,S1AP-201,310-490,TAC-4838,Signaling storm detected - insufficient resources,Initial UE Message,False,False,False,None,None
EVT-00000835,2025-11-12 08:15:39.973878,3102601000000640,mme-05.tmobile.net,CELL-0025,TAU,S1AP-201,310-800,TAC-9151,Service request timeout - software bug,Downlink NAS Transport,False,False,False,None,None
EVT-00000836,2025-11-12 06:52:10.973878,3102601000000301,mme-05.tmobile.net,CELL-0022,Service Request,S1AP-201,310-490,TAC-7205,TAU rejected - authentication timeout,Authentication Request,False,False,False,None,None
EVT-00000837,2025-11-12 06:46:03.973878,3102601000000390,mme-05.tmobile.net,CELL-0013,Service Request,S1AP-201,310-260,TAC-9207,Attach rejected due to software bug on MME mme-05.tmobile.net,Initial UE Message,False,False,False,None,None
EVT-00000838,2025-11-12 07:12:30.973878,3102601000000630,mme-05.tmobile.net,CELL-0047,Service Request,EMM-003,310-260,TAC-7527,TAU rejected - software bug,Attach Accept,False,False,False,None,None
EVT-00000839,2025-11-12 06:12:09.973878,3102601000000582,mme-05.tmobile.net,CELL-0078,Attach,NAS-302,310-260,TAC-9602,Service request timeout - roaming restriction,Downlink NAS Transport,True,False,False,None,None
EVT-00000840,2025-11-12 07:01:56.973878,3102601000000346,mme-05.tmobile.net,CELL-0024,Attach,NAS-302,310-260,TAC-4123,Handover failure from CELL-0024 to CELL-0024 - HSS sync failure,Handover Required,True,False,False,None,None
EVT-00000841,2025-11-12 05:50:20.973878,3102601000000708,mme-05.tmobile.net,CELL-0025,Service Request,NAS-302,310-260,TAC-6482,Bearer modification rejected - security check failed,TAU Accept,False,False,False,None,None
EVT-00000842,2025-11-12 05:35:05.973878,3102601000000374,mme-05.tmobile.net,CELL-0052,Attach,S1AP-201,310-800,TAC-1681,Resource exhaustion on mme-05.tmobile.net - hardware failure,Attach Accept,True,False,False,None,None
EVT-00000843,2025-11-12 08:34:01.973878,3102601000000407,mme-05.tmobile.net,CELL-0024,TAU,S1AP-201,310-260,TAC-3121,Authentication failure for subscriber - network congestion,Path Switch Request,False,False,False,None,None
EVT-00000844,2025-11-12 07:11:48.973878,3102601000000751,mme-05.tmobile.net,CELL-0010,Attach,S1AP-201,310-260,TAC-4871,Attach rejected due to hardware failure on MME mme-05.tmobile.net,Handover Required,True,False,False,None,None
EVT-00000845,2025-11-12 06:47:59.973878,3102601000000621,mme-05.tmobile.net,CELL-0025,Attach,EMM-003,310-490,TAC-5348,HSS unreachable during Attach - database sync issue,Handover Required,True,False,False,None,None
EVT-00000846,2025-11-12 07:39:34.973878,3102601000000407,mme-05.tmobile.net,CELL-0007,Service Request,S1AP-201,310-490,TAC-6183,PDN connectivity failure - cell overload,Initial UE Message,False,False,False,None,None
EVT-00000847,2025-11-12 07:54:40.973878,3102601000000764,mme-05.tmobile.net,CELL-0067,TAU,S1AP-201,310-490,TAC-1598,Signaling storm detected - roaming restriction,Authentication Request,False,False,False,None,None
EVT-00000848,2025-11-12 06:12:33.973878,3102601000000295,mme-05.tmobile.net,CELL-0078,Service Request,EMM-003,310-260,TAC-6343,Handover failure from CELL-0078 to CELL-0078 - invalid subscriber data,Handover Required,False,False,False,None,None
EVT-00000849,2025-11-12 07:41:27.973878,3102601000000723,mme-05.tmobile.net,CELL-0078,TAU,EMM-003,310-260,TAC-1203,Resource exhaustion on mme-05.tmobile.net - cell overload,Path Switch Request,False,False,False,None,None
EVT-00000850,2025-11-12 06:20:12.973878,3102601000000546,mme-05.tmobile.net,CELL-0069,Service Request,S1AP-201,310-260,TAC-5407,Service request timeout - HSS sync failure,Uplink NAS Transport,False,False,False,None,None
EVT-00000851,2025-11-12 08:26:53.973878,3102601000000091,mme-05.tmobile.net,CELL-0069,TAU,S1AP-201,310-260,TAC-7071,TAU rejected - signaling timeout,Handover Required,False,False,False,None,None
EVT-00000852,2025-11-12 06:32:05.973878,3102601000000378,mme-05.tmobile.net,CELL-0007,TAU,S1AP-201,310-260,TAC-3574,PDN connectivity failure - hardware failure,Handover Required,False,False,False,None,None
EVT-00000853,2025-11-12 08:06:59.973878,3102601000000693,mme-05.tmobile.net,CELL-0024,TAU,S1AP-201,310-260,TAC-3692,PDN connectivity failure - hardware failure,Downlink NAS Transport,False,False,False,None,None
EVT-00000854,2025-11-12 06:32:36.973878,3102601000000630,mme-05.tmobile.net,CELL-0047,Service Request,EMM-003,310-260,TAC-5323,Authentication failure for subscriber - insufficient resources,S1 Setup Request,False,False,False,None,None
EVT-00000855,2025-11-12 08:26:05.973878,3102601000000423,mme-05.tmobile.net,CELL-0078,TAU,EMM-003,310-260,TAC-1457,Bearer modification rejected - roaming restriction,Initial UE Message,False,False,False,None,None
EVT-00000856,2025-11-12 07:09:32.973878,3102601000000374,mme-05.tmobile.net,CELL-0063,Attach,S1AP-201,310-800,TAC-8249,TAU rejected - security check failed,Path Switch Request,True,False,False,None,None
EVT-00000857,2025-11-12 09:17:02.973878,3102601000000327,mme-05.tmobile.net,CELL-0007,TAU,S1AP-201,310-490,TAC-1758,HSS unreachable during TAU - database sync issue,Path Switch Request,False,False,False,None,None
EVT-00000858,2025-11-12 05:21:20.973878,3102601000000374,mme-05.tmobile.net,CELL-0069,Attach,EMM-003,310-260,TAC-5117,Attach rejected due to roaming restriction on MME mme-05.tmobile.net,S1 Setup Request,True,False,False,None,None
EVT-00000859,2025-11-12 05:38:39.973878,3102601000000250,mme-05.tmobile.net,CELL-0078,TAU,NAS-302,310-260,TAC-6663,Signaling storm detected - network congestion,Path Switch Request,False,False,False,None,None
EVT-00000860,2025-11-12 08:30:50.973878,3102601000000602,mme-05.tmobile.net,CELL-0078,Service Request,S1AP-201,310-260,TAC-5503,Attach rejected due to insufficient resources on MME mme-05.tmobile.net,Path Switch Request,False,False,False,None,None
EVT-00000861,2025-11-12 07:46:22.973878,3102601000000739,mme-05.tmobile.net,CELL-0010,Service Request,NAS-302,310-260,TAC-1411,PDN connectivity failure - insufficient resources,Downlink NAS Transport,False,False,False,None,None
EVT-00000862,2025-11-12 06:11:02.973878,3102601000000546,mme-05.tmobile.net,CELL-0063,Service Request,NAS-302,310-260,TAC-2825,Signaling storm detected - cell overload,Initial UE Message,False,False,False,None,None
EVT-00000863,2025-11-12 09:02:58.973878,3102601000000490,mme-05.tmobile.net,CELL-0078,Attach,S1AP-201,310-260,TAC-6902,Resource exhaustion on mme-05.tmobile.net - software bug,Path Switch Request,True,False,False,None,None
EVT-00000864,2025-11-12 09:11:35.973878,3102601000000768,mme-05.tmobile.net,CELL-0024,TAU,NAS-302,310-260,TAC-1964,Handover failure from CELL-0024 to CELL-0024 - invalid subscriber data,Handover Required,False,False,False,None,None
EVT-00000865,2025-11-12 08:44:26.973878,3102601000000112,mme-05.tmobile.net,CELL-0013,Service Request,EMM-003,310-490,TAC-7463,Resource exhaustion on mme-05.tmobile.net - invalid subscriber data,Uplink NAS Transport,False,False,False,None,None
EVT-00000866,2025-11-12 06:11:22.973878,3102601000000621,mme-05.tmobile.net,CELL-0047,TAU,NAS-302,310-260,TAC-5062,Handover failure from CELL-0047 to CELL-0047 - insufficient resources,Authentication Request,False,False,False,None,None
EVT-00000867,2025-11-12 06:04:01.973878,3102601000000558,mme-05.tmobile.net,CELL-0010,Service Request,NAS-302,310-260,TAC-6940,Service request timeout - security check failed,TAU Accept,False,False,False,None,None
EVT-00000868,2025-11-12 05:37:22.973878,3102601000000390,mme-05.tmobile.net,CELL-0067,Service Request,NAS-302,310-260,TAC-9020,Bearer modification rejected - hardware failure,Uplink NAS Transport,False,False,False,None,None
EVT-00000869,2025-11-12 06:17:37.973878,3102601000000739,mme-05.tmobile.net,CELL-0069,TAU,S1AP-201,310-490,TAC-8697,Resource exhaustion on mme-05.tmobile.net - roaming restriction,Handover Required,False,False,False,None,None
EVT-00000870,2025-11-12 07:43:33.973878,3102601000000555,mme-05.tmobile.net,CELL-0024,Attach,S1AP-201,310-260,TAC-3882,Resource exhaustion on mme-05.tmobile.net - HSS sync failure,Attach Accept,True,False,False,None,None
EVT-00000871,2025-11-12 07:56:26.973878,3102601000000342,mme-05.tmobile.net,CELL-0047,Service Request,S1AP-201,310-490,TAC-1324,Service request timeout - cell overload,Uplink NAS Transport,False,False,False,None,None
EVT-00000872,2025-11-12 08:25:37.973878,3102601000000233,mme-05.tmobile.net,CELL-0024,Service Request,S1AP-201,310-800,TAC-3727,Signaling storm detected - database corruption,Attach Accept,False,False,False,None,None
EVT-00000873,2025-11-12 08:25:16.973878,3102601000000631,mme-05.tmobile.net,CELL-0047,Service Request,EMM-003,310-260,TAC-4798,Handover failure from CELL-0047 to CELL-0047 - roaming restriction,Attach Accept,False,False,False,None,None
EVT-00000874,2025-11-12 08:52:04.973878,3102601000000674,mme-05.tmobile.net,CELL-0052,Attach,S1AP-201,310-490,TAC-1451,Bearer modification rejected - invalid subscriber data,Downlink NAS Transport,True,False,False,None,None
EVT-00000875,2025-11-12 06:27:24.973878,3102601000000004,mme-05.tmobile.net,CELL-0069,TAU,S1AP-201,310-260,TAC-1198,Authentication failure for subscriber - security check failed,Handover Required,False,False,False,None,None
EVT-00000876,2025-11-12 08:35:53.973878,3102601000000636,mme-05.tmobile.net,CELL-0063,Attach,S1AP-201,310-490,TAC-3333,Service request timeout - cell overload,Initial UE Message,True,False,False,None,None
EVT-00000877,2025-11-12 09:07:32.973878,3102601000000685,mme-05.tmobile.net,CELL-0033,Attach,NAS-302,310-800,TAC-3097,Service request timeout - software bug,Downlink NAS Transport,True,False,False,None,None
EVT-00000878,2025-11-12 06:47:53.973878,3102601000000486,mme-05.tmobile.net,CELL-0022,Service Request,NAS-302,310-490,TAC-2814,Service request timeout - HSS sync failure,Attach Accept,False,False,False,None,None
EVT-00000879,2025-11-12 07:30:32.973878,3102601000000736,mme-05.tmobile.net,CELL-0052,Service Request,NAS-302,310-260,TAC-2919,PDN connectivity failure - security check failed,Attach Accept,False,False,False,None,None
EVT-00000880,2025-11-12 07:44:55.973878,3102601000000062,mme-05.tmobile.net,CELL-0052,TAU,NAS-302,310-490,TAC-6769,Service request timeout - security check failed,Handover Required,False,False,False,None,None
EVT-00000881,2025-11-12 08:22:16.973878,3102601000000156,mme-05.tmobile.net,CELL-0013,Service Request,S1AP-201,310-260,TAC-2215,HSS unreachable during Service Request - database sync issue,Downlink NAS Transport,False,False,False,None,None
EVT-00000882,2025-11-12 05:40:04.973878,3102601000000630,mme-05.tmobile.net,CELL-0033,Attach,S1AP-201,310-260,TAC-1690,PDN connectivity failure - signaling timeout,TAU Accept,True,False,False,None,None
EVT-00000883,2025-11-12 06:07:00.973878,3102601000000486,mme-05.tmobile.net,CELL-0013,TAU,S1AP-201,310-260,TAC-7376,Attach rejected due to insufficient resources on MME mme-05.tmobile.net,Uplink NAS Transport,False,False,False,None,None
EVT-00000884,2025-11-12 09:18:02.973878,3102601000000558,mme-05.tmobile.net,CELL-0024,Service Request,NAS-302,310-490,TAC-9425,TAU rejected - security check failed,Initial UE Message,False,False,False,None,None
EVT-00000885,2025-11-12 07:38:13.973878,3102601000000435,mme-05.tmobile.net,CELL-0069,Service Request,S1AP-201,310-260,TAC-8970,HSS unreachable during Service Request - database sync issue,TAU Accept,False,False,False,None,None
EVT-00000886,2025-11-12 07:08:53.973878,3102601000000259,mme-05.tmobile.net,CELL-0033,Attach,EMM-003,310-260,TAC-3785,Authentication failure for subscriber - network congestion,Handover Required,True,False,False,None,None
EVT-00000887,2025-11-12 07:38:48.973878,3102601000000727,mme-05.tmobile.net,CELL-0010,TAU,EMM-003,310-490,TAC-2850,Service request timeout - authentication timeout,Attach Accept,False,False,False,None,None
EVT-00000888,2025-11-12 08:27:00.973878,3102601000000751,mme-05.tmobile.net,CELL-0052,TAU,S1AP-201,310-490,TAC-9637,Signaling storm detected - security check failed,Attach Accept,False,False,False,None,None
EVT-00000889,2025-11-12 07:03:45.973878,3102601000000640,mme-05.tmobile.net,CELL-0032,TAU,NAS-302,310-260,TAC-3897,Attach rejected due to network congestion on MME mme-05.tmobile.net,S1 Setup Request,False,False,False,None,None
EVT-00000890,2025-11-12 08:11:58.973878,3102601000000301,mme-05.tmobile.net,CELL-0025,TAU,NAS-302,310-260,TAC-5653,Authentication failure for subscriber - database corruption,Downlink NAS Transport,False,False,False,None,None
EVT-00000891,2025-11-12 08:50:50.973878,3102601000000607,mme-05.tmobile.net,CELL-0052,TAU,S1AP-201,310-260,TAC-9565,Handover failure from CELL-0052 to CELL-0052 - insufficient resources,Attach Accept,False,False,False,None,None
EVT-00000892,2025-11-12 05:32:53.973878,3102601000000353,mme-05.tmobile.net,CELL-0052,TAU,S1AP-201,310-260,TAC-1032,TAU rejected - insufficient resources,Initial UE Message,False,False,False,None,None
EVT-00000893,2025-11-12 07:53:37.973878,3102601000000621,mme-05.tmobile.net,CELL-0069,Service Request,NAS-302,310-260,TAC-2885,Signaling storm detected - software bug,Downlink NAS Transport,False,False,False,None,None
EVT-00000894,2025-11-12 09:00:03.973878,3102601000000531,mme-05.tmobile.net,CELL-0063,Attach,NAS-302,310-260,TAC-1748,Attach rejected due to signaling timeout on MME mme-05.tmobile.net,Path Switch Request,True,False,False,None,None
EVT-00000895,2025-11-12 08:57:57.973878,3102601000000615,mme-05.tmobile.net,CELL-0067,Service Request,NAS-302,310-800,TAC-4681,Service request timeout - network congestion,Path Switch Request,False,False,False,None,None
EVT-00000896,2025-11-12 08:27:34.973878,3102601000000693,mme-05.tmobile.net,CELL-0022,Attach,EMM-003,310-260,TAC-5458,Signaling storm detected - software bug,Attach Accept,True,False,False,None,None
