cell_id,cell_name,technology,region,latitude,longitude,max_prb_capacity,vendor,deployment_date,neighbor_cell_list
cell-00134,Tower NORTHWEST-0134,5G-NSA,northwest,48.36362137153275,-119.38885328636078,100,Ericsson,2023-11-14 10:39:16.867975,"cell-00221,cell-00197,cell-00090,cell-00030,cell-00359,cell-00292"
cell-00135,Tower CENTRAL-0135,4G-LTE,southeast,31.32642923289839,-90.05872660232679,50,Samsung,2023-11-15 10:39:16.867975,"cell-00482,cell-00047,cell-00490,cell-00465,cell-00472,cell-00385,cell-00001"
cell-00136,Tower NORTHWEST-0136,5G-NSA,southwest,36.24472172084393,-117.79058290399998,150,Nokia,2023-11-16 10:39:16.867975,"cell-00380,cell-00314,cell-00043,cell-00286,cell-00368,cell-00354,cell-00019"
cell-00137,Tower CENTRAL-0137,5G-NSA,southeast,37.49128693899206,-118.32380532801275,50,Ericsson,2023-11-17 10:39:16.867975,"cell-00092,cell-00458,cell-00424,cell-00020"
cell-00138,Tower SOUTHWEST-0138,4G-LTE,northeast,25.757947396323665,-80.51024697419194,150,Nokia,2023-11-18 10:39:16.867975,"cell-00172,cell-00058,cell-00481,cell-00308,cell-00183"
cell-00139,Tower CENTRAL-0139,5G-NSA,southeast,26.125477376948982,-116.88175602369317,150,Ericsson,2023-11-19 10:39:16.867975,"cell-00273,cell-00198,cell-00007"
cell-00140,Tower CENTRAL-0140,5G-NSA,central,31.09953903777106,-119.96026326052056,150,Ericsson,2023-11-20 10:39:16.867975,"cell-00323,cell-00175,cell-00478,cell-00139,cell-00222,cell-00497"
cell-00141,Tower NORTHWEST-0141,5G-SA,southwest,36.07875055429276,-98.1164979339996,50,Ericsson,2023-11-21 10:39:16.867975,"cell-00079,cell-00466,cell-00451,cell-00338,cell-00493"
cell-00142,Tower CENTRAL-0142,5G-SA,central,31.935915268426964,-88.00320365828458,200,Ericsson,2023-11-22 10:39:16.867975,"cell-00475,cell-00116,cell-00447,cell-00147,cell-00052,cell-00221,cell-00432"
cell-00143,Tower CENTRAL-0143,4G-LTE,central,44.04842040836922,-117.53326892615517,200,Nokia,2023-11-23 10:39:16.867975,"cell-00183,cell-00220,cell-00136,cell-00462"
cell-00144,Tower CENTRAL-0144,5G-NSA,southeast,28.857542564602568,-113.17765702602608,150,Samsung,2023-11-24 10:39:16.867975,"cell-00261,cell-00453,cell-00232,cell-00160,cell-00094,cell-00488,cell-00486"
cell-00145,Tower SOUTHEAST-0145,5G-NSA,northeast,46.08529269736693,-87.47829541797567,50,Ericsson,2023-11-25 10:39:16.867975,"cell-00266,cell-00393,cell-00480"
cell-00146,Tower NORTHEAST-0146,5G-SA,northwest,34.84166140467819,-68.3999695736743,50,Samsung,2023-11-26 10:39:16.867975,"cell-00178,cell-00234,cell-00488,cell-00378,cell-00422"
cell-00147,Tower NORTHWEST-0147,4G-LTE,southwest,31.0806961620153,-108.9621890941765,100,Nokia,2023-11-27 10:39:16.867975,"cell-00129,cell-00196,cell-00288,cell-00369,cell-00342,cell-00175"
cell-00148,Tower SOUTHWEST-0148,4G-LTE,central,35.97282233839986,-107.50370892738992,200,Nokia,2023-11-28 10:39:16.867975,"cell-00311,cell-00107,cell-00246,cell-00130,cell-00029"
cell-00149,Tower NORTHEAST-0149,5G-NSA,northwest,36.423580434466906,-78.46030715634043,50,Ericsson,2023-11-29 10:39:16.867975,"cell-00234,cell-00362,cell-00323,cell-00246"
cell-00150,Tower NORTHWEST-0150,4G-LTE,northwest,36.78595841523761,-82.90582996893146,150,Ericsson,2023-11-30 10:39:16.867975,"cell-00356,cell-00043,cell-00257"
cell-00151,Tower SOUTHWEST-0151,5G-SA,southwest,28.422838924470526,-92.51042992772133,100,Ericsson,2023-12-01 10:39:16.867975,"cell-00263,cell-00489,cell-00458"
cell-00152,Tower SOUTHWEST-0152,5G-SA,southwest,33.25659157844422,-114.4175580547568,100,Nokia,2023-12-02 10:39:16.867975,"cell-00470,cell-00016,cell-00457,cell-00489"
cell-00153,Tower NORTHWEST-0153,5G-SA,northeast,33.90911841509595,-82.09381124982231,50,Ericsson,2023-12-03 10:39:16.867975,"cell-00404,cell-00117,cell-00012,cell-00093,cell-00057,cell-00042"
cell-00154,Tower NORTHEAST-0154,5G-SA,central,30.62978458069233,-93.51778962187947,200,Nokia,2023-12-04 10:39:16.867975,"cell-00403,cell-00167,cell-00299"
cell-00155,Tower NORTHWEST-0155,4G-LTE,central,39.24558022975895,-77.38922877614766,200,Ericsson,2023-12-05 10:39:16.867975,"cell-00051,cell-00363,cell-00441,cell-00020"
cell-00156,Tower SOUTHEAST-0156,4G-LTE,central,33.182663434763356,-116.8422580803059,100,Nokia,2023-12-06 10:39:16.867975,"cell-00233,cell-00450,cell-00053,cell-00241,cell-00330,cell-00389,cell-00262"
cell-00157,Tower NORTHEAST-0157,4G-LTE,southwest,41.56381833709699,-107.27460771247102,150,Ericsson,2023-12-07 10:39:16.867975,"cell-00491,cell-00369,cell-00127,cell-00363,cell-00347"
cell-00158,Tower NORTHWEST-0158,5G-SA,central,48.71011225406596,-98.89387086239893,150,Samsung,2023-12-08 10:39:16.867975,"cell-00054,cell-00215,cell-00314,cell-00023,cell-00331,cell-00220,cell-00132"
cell-00159,Tower SOUTHWEST-0159,5G-SA,southwest,28.85031619745336,-89.27326156869474,50,Nokia,2023-12-09 10:39:16.867975,"cell-00096,cell-00161,cell-00217"
cell-00160,Tower CENTRAL-0160,4G-LTE,northwest,44.9864590921411,-117.01240490799762,150,Samsung,2023-12-10 10:39:16.867975,"cell-00166,cell-00452,cell-00172"
cell-00161,Tower NORTHEAST-0161,4G-LTE,southeast,42.56963975541504,-107.45992280727987,200,Nokia,2023-12-11 10:39:16.867975,"cell-00077,cell-00207,cell-00489,cell-00094,cell-00414"
cell-00162,Tower CENTRAL-0162,5G-NSA,northeast,33.13552863266493,-102.90078894397354,200,Samsung,2023-12-12 10:39:16.867975,"cell-00135,cell-00440,cell-00295,cell-00229,cell-00294"
cell-00163,Tower SOUTHWEST-0163,4G-LTE,northwest,47.763012490767636,-91.56155889536741,200,Ericsson,2023-12-13 10:39:16.867975,"cell-00200,cell-00026,cell-00207,cell-00087"
cell-00164,Tower SOUTHEAST-0164,4G-LTE,northeast,43.72185661144119,-84.33426715176164,50,Ericsson,2023-12-14 10:39:16.867975,"cell-00013,cell-00143,cell-00094,cell-00068"
cell-00165,Tower NORTHEAST-0165,5G-SA,southwest,46.115359190156596,-70.11438792394321,100,Samsung,2023-12-15 10:39:16.867975,"cell-00186,cell-00376,cell-00231,cell-00462,cell-00190,cell-00232,cell-00419"
cell-00166,Tower CENTRAL-0166,5G-NSA,northeast,41.92126520945878,-99.34450438181366,100,Samsung,2023-12-16 10:39:16.867975,"cell-00131,cell-00078,cell-00106,cell-00052,cell-00320,cell-00063,cell-00402"
cell-00167,Tower SOUTHWEST-0167,4G-LTE,northwest,39.18387789741678,-95.6689737457402,150,Nokia,2023-12-17 10:39:16.867975,"cell-00318,cell-00487,cell-00241,cell-00449"
cell-00168,Tower SOUTHEAST-0168,5G-NSA,southwest,48.04740308736676,-88.92286031251821,100,Nokia,2023-12-18 10:39:16.867975,"cell-00135,cell-00434,cell-00262,cell-00150,cell-00026,cell-00157,cell-00375"
cell-00169,Tower CENTRAL-0169,4G-LTE,northeast,38.48629371750628,-73.85897612402779,150,Nokia,2023-12-19 10:39:16.867975,"cell-00246,cell-00362,cell-00018,cell-00495,cell-00291,cell-00347"
cell-00170,Tower CENTRAL-0170,5G-SA,northeast,45.88319242098271,-75.96269928918802,200,Ericsson,2023-12-20 10:39:16.867975,"cell-00363,cell-00237,cell-00254,cell-00079,cell-00036,cell-00041,cell-00260"
cell-00171,Tower NORTHWEST-0171,5G-NSA,northeast,30.57195106635154,-113.83421599355712,100,Nokia,2023-12-21 10:39:16.867975,"cell-00300,cell-00042,cell-00214,cell-00074,cell-00114"
cell-00172,Tower SOUTHEAST-0172,5G-SA,southeast,47.650197770405235,-106.89774900721694,200,Samsung,2023-12-22 10:39:16.867975,"cell-00367,cell-00259,cell-00406,cell-00307,cell-00419"
cell-00173,Tower NORTHEAST-0173,4G-LTE,central,39.43179799355909,-91.53458643040577,100,Samsung,2023-12-23 10:39:16.867975,"cell-00222,cell-00041,cell-00494"
cell-00174,Tower SOUTHEAST-0174,5G-NSA,southeast,36.10603850708291,-118.25987378001541,150,Nokia,2023-12-24 10:39:16.867975,"cell-00041,cell-00208,cell-00082"
cell-00175,Tower SOUTHEAST-0175,5G-SA,southeast,33.49089183031923,-103.21950601426686,100,Samsung,2023-12-25 10:39:16.867975,"cell-00089,cell-00104,cell-00021,cell-00455"
cell-00176,Tower NORTHEAST-0176,5G-NSA,southeast,27.916398160483176,-120.87386564285534,150,Nokia,2023-12-26 10:39:16.867975,"cell-00367,cell-00382,cell-00056,cell-00196,cell-00268,cell-00060,cell-00046"
cell-00177,Tower CENTRAL-0177,4G-LTE,southwest,39.57672831836355,-66.93378694696733,200,Samsung,2023-12-27 10:39:16.867975,"cell-00105,cell-00297,cell-00209,cell-00096,cell-00416,cell-00202"
cell-00178,Tower NORTHWEST-0178,5G-SA,southeast,42.25585576721182,-88.0154827940097,50,Ericsson,2023-12-28 10:39:16.867975,"cell-00109,cell-00246,cell-00399,cell-00412,cell-00034"
cell-00179,Tower NORTHEAST-0179,5G-NSA,central,27.878914777490444,-113.642277506742,200,Samsung,2023-12-29 10:39:16.867975,"cell-00351,cell-00187,cell-00132,cell-00468"
cell-00180,Tower SOUTHWEST-0180,4G-LTE,northeast,31.025064047464546,-123.49887594311875,50,Samsung,2023-12-30 10:39:16.867975,"cell-00247,cell-00103,cell-00308,cell-00434,cell-00036,cell-00276,cell-00440"
cell-00181,Tower NORTHEAST-0181,5G-SA,northwest,34.66639232149188,-109.8537091556294,200,Samsung,2023-12-31 10:39:16.867975,"cell-00067,cell-00035,cell-00291"
cell-00182,Tower NORTHEAST-0182,5G-SA,northwest,32.12593913724657,-89.80206951040401,200,Ericsson,2024-01-01 10:39:16.867975,"cell-00390,cell-00204,cell-00035,cell-00200"
cell-00183,Tower SOUTHWEST-0183,4G-LTE,northeast,48.861367133574646,-95.72307627548845,200,Samsung,2024-01-02 10:39:16.867975,"cell-00120,cell-00115,cell-00314,cell-00445"
cell-00184,Tower SOUTHEAST-0184,4G-LTE,southwest,27.276629672104683,-105.65069125035566,200,Ericsson,2024-01-03 10:39:16.867975,"cell-00443,cell-00161,cell-00257,cell-00471"
cell-00185,Tower NORTHWEST-0185,4G-LTE,southeast,48.55451662637935,-117.61026193066112,200,Ericsson,2024-01-04 10:39:16.867975,"cell-00310,cell-00457,cell-00059"
cell-00186,Tower SOUTHWEST-0186,4G-LTE,central,35.142520642732585,-124.60643591271278,200,Nokia,2024-01-05 10:39:16.867975,"cell-00118,cell-00138,cell-00448,cell-00284,cell-00249,cell-00376"
cell-00187,Tower SOUTHEAST-0187,4G-LTE,southwest,32.14803244982531,-102.76963475357414,200,Nokia,2024-01-06 10:39:16.867975,"cell-00459,cell-00118,cell-00162,cell-00058,cell-00261,cell-00295,cell-00302"
cell-00188,Tower NORTHWEST-0188,4G-LTE,northeast,34.19400493453619,-72.9188153591427,150,Nokia,2024-01-07 10:39:16.867975,"cell-00062,cell-00366,cell-00163,cell-00239,cell-00031,cell-00158,cell-00278"
cell-00189,Tower NORTHEAST-0189,4G-LTE,southeast,43.12090147097955,-82.5789825926308,50,Nokia,2024-01-08 10:39:16.867975,"cell-00299,cell-00116,cell-00026,cell-00170"
cell-00190,Tower NORTHWEST-0190,4G-LTE,central,48.99928903327175,-96.30312106928355,100,Nokia,2024-01-09 10:39:16.867975,"cell-00255,cell-00373,cell-00361"
cell-00191,Tower NORTHWEST-0191,5G-NSA,southwest,31.797751301137442,-118.31193096925763,150,Samsung,2024-01-10 10:39:16.867975,"cell-00165,cell-00358,cell-00055,cell-00304"
cell-00192,Tower SOUTHEAST-0192,5G-SA,southeast,26.84253656885472,-118.82466113252345,50,Nokia,2024-01-11 10:39:16.867975,"cell-00259,cell-00179,cell-00412,cell-00447,cell-00254,cell-00088,cell-00200"
cell-00193,Tower CENTRAL-0193,5G-NSA,central,32.41095459838969,-66.77122575769091,50,Nokia,2024-01-12 10:39:16.867975,"cell-00450,cell-00343,cell-00218,cell-00002,cell-00142,cell-00123,cell-00277"
cell-00194,Tower NORTHEAST-0194,4G-LTE,southwest,47.912417130956136,-120.69550636254857,150,Samsung,2024-01-13 10:39:16.867975,"cell-00421,cell-00421,cell-00334,cell-00046,cell-00328,cell-00246"
cell-00195,Tower SOUTHEAST-0195,5G-NSA,southwest,41.5888668277183,-94.24886093056267,100,Ericsson,2024-01-14 10:39:16.867975,"cell-00458,cell-00114,cell-00248,cell-00152,cell-00088,cell-00060"
cell-00196,Tower NORTHEAST-0196,4G-LTE,southwest,27.492816495663657,-119.07062951131688,150,Samsung,2024-01-15 10:39:16.867975,"cell-00166,cell-00402,cell-00056,cell-00436,cell-00391,cell-00436"
cell-00197,Tower CENTRAL-0197,4G-LTE,northwest,39.371691117893334,-104.47827087065485,150,Samsung,2024-01-16 10:39:16.867975,"cell-00261,cell-00352,cell-00046,cell-00354,cell-00327,cell-00499,cell-00407"
cell-00198,Tower SOUTHWEST-0198,5G-SA,northeast,26.49409312965894,-85.21081514715034,100,Samsung,2024-01-17 10:39:16.867975,"cell-00499,cell-00226,cell-00269,cell-00164"
cell-00199,Tower NORTHWEST-0199,5G-NSA,northeast,34.630394575592426,-91.33642208894908,200,Samsung,2024-01-18 10:39:16.867975,"cell-00339,cell-00152,cell-00153,cell-00437"
cell-00200,Tower SOUTHEAST-0200,4G-LTE,northwest,38.598118495252045,-86.90225799871986,50,Samsung,2024-01-19 10:39:16.867975,"cell-00009,cell-00345,cell-00207,cell-00452,cell-00354"
cell-00201,Tower NORTHEAST-0201,4G-LTE,northwest,42.44294754786505,-120.903230071272,100,Samsung,2024-01-20 10:39:16.867975,"cell-00273,cell-00151,cell-00196,cell-00332"
cell-00202,Tower CENTRAL-0202,5G-NSA,northwest,46.639882073032666,-70.75302643055552,150,Ericsson,2024-01-21 10:39:16.867975,"cell-00292,cell-00419,cell-00253"
cell-00203,Tower SOUTHEAST-0203,5G-NSA,southeast,48.968369726521885,-87.37221264274433,50,Samsung,2024-01-22 10:39:16.867975,"cell-00137,cell-00421,cell-00005,cell-00314"
cell-00204,Tower NORTHEAST-0204,4G-LTE,northwest,47.93291815399394,-89.18574266908908,200,Ericsson,2024-01-23 10:39:16.867975,"cell-00397,cell-00330,cell-00214,cell-00109,cell-00295,cell-00026"
cell-00205,Tower SOUTHEAST-0205,5G-NSA,central,37.82833988003277,-93.02566579712187,150,Samsung,2024-01-24 10:39:16.867975,"cell-00153,cell-00094,cell-00102,cell-00482,cell-00458"
cell-00206,Tower SOUTHEAST-0206,5G-SA,northwest,26.537776470142656,-76.78997725241167,50,Ericsson,2024-01-25 10:39:16.867975,"cell-00250,cell-00374,cell-00234,cell-00214,cell-00203,cell-00149,cell-00009"
cell-00207,Tower NORTHWEST-0207,5G-NSA,central,30.43561164247009,-88.20482952212203,150,Samsung,2024-01-26 10:39:16.867975,"cell-00096,cell-00465,cell-00054"
cell-00208,Tower CENTRAL-0208,5G-SA,northeast,30.80854602173404,-121.16091615485264,200,Samsung,2024-01-27 10:39:16.867975,"cell-00373,cell-00279,cell-00229,cell-00219,cell-00023,cell-00148"
cell-00209,Tower SOUTHEAST-0209,4G-LTE,northeast,48.97545318057759,-71.1985565691625,100,Nokia,2024-01-28 10:39:16.867975,"cell-00319,cell-00460,cell-00360"
cell-00210,Tower SOUTHEAST-0210,4G-LTE,southwest,32.508306585370626,-103.48461212481016,150,Samsung,2024-01-29 10:39:16.867975,"cell-00119,cell-00332,cell-00147,cell-00264"
cell-00211,Tower SOUTHEAST-0211,5G-NSA,southeast,40.11249670921543,-118.19170239764298,200,Ericsson,2024-01-30 10:39:16.867975,"cell-00336,cell-00490,cell-00270,cell-00077,cell-00375,cell-00210,cell-00482"
cell-00212,Tower NORTHWEST-0212,4G-LTE,southwest,43.42279756782047,-109.65867810517649,100,Ericsson,2024-01-31 10:39:16.867975,"cell-00198,cell-00467,cell-00282"
cell-00213,Tower NORTHWEST-0213,5G-SA,central,45.121912875101096,-92.3997057841083,150,Ericsson,2024-02-01 10:39:16.867975,"cell-00257,cell-00098,cell-00298,cell-00415"
cell-00214,Tower NORTHWEST-0214,5G-SA,southeast,44.347164180164555,-67.07696433338364,150,Samsung,2024-02-02 10:39:16.867975,"cell-00329,cell-00368,cell-00341"
cell-00215,Tower SOUTHEAST-0215,5G-SA,southwest,25.80608137227722,-109.02314373629396,150,Ericsson,2024-02-03 10:39:16.867975,"cell-00344,cell-00119,cell-00023,cell-00372"
cell-00216,Tower SOUTHWEST-0216,4G-LTE,southwest,27.62791930816489,-102.2953917774131,50,Samsung,2024-02-04 10:39:16.867975,"cell-00180,cell-00214,cell-00483,cell-00310"
cell-00217,Tower SOUTHWEST-0217,5G-NSA,northeast,47.83911518007774,-123.32723305816879,100,Ericsson,2024-02-05 10:39:16.867975,"cell-00109,cell-00312,cell-00431"
cell-00218,Tower SOUTHWEST-0218,5G-NSA,northwest,32.344276976511885,-88.84793030826482,200,Nokia,2024-02-06 10:39:16.867975,"cell-00009,cell-00442,cell-00356,cell-00103,cell-00412,cell-00499,cell-00139"
cell-00219,Tower SOUTHEAST-0219,4G-LTE,southeast,40.553328684372815,-66.80466294362984,50,Nokia,2024-02-07 10:39:16.867975,"cell-00021,cell-00465,cell-00196,cell-00453"
cell-00220,Tower NORTHEAST-0220,4G-LTE,northwest,48.26823014194108,-73.14534259648127,100,Ericsson,2024-02-08 10:39:16.867975,"cell-00161,cell-00377,cell-00498,cell-00277,cell-00137"
cell-00221,Tower SOUTHWEST-0221,4G-LTE,southeast,28.429390388634612,-69.61684844892315,200,Ericsson,2024-02-09 10:39:16.867975,"cell-00079,cell-00223,cell-00248"
cell-00222,Tower CENTRAL-0222,4G-LTE,northeast,30.505758454692746,-108.64109307748045,100,Nokia,2024-02-10 10:39:16.867975,"cell-00361,cell-00017,cell-00118"
cell-00223,Tower SOUTHEAST-0223,4G-LTE,southwest,29.634409085957618,-120.4055135348981,100,Nokia,2024-02-11 10:39:16.867975,"cell-00271,cell-00077,cell-00399"
cell-00224,Tower NORTHEAST-0224,5G-NSA,central,28.752962932367268,-75.56754155201429,200,Samsung,2024-02-12 10:39:16.867975,"cell-00076,cell-00208,cell-00178,cell-00229,cell-00246"
cell-00225,Tower SOUTHWEST-0225,5G-SA,northeast,33.871529808397696,-124.59059040046529,150,Nokia,2024-02-13 10:39:16.867975,"cell-00397,cell-00180,cell-00385,cell-00404,cell-00226,cell-00377,cell-00479"
cell-00226,Tower SOUTHEAST-0226,4G-LTE,southeast,27.123670397982135,-96.55129029119955,200,Ericsson,2024-02-14 10:39:16.867975,"cell-00170,cell-00402,cell-00149,cell-00290,cell-00364,cell-00070,cell-00164"
cell-00227,Tower NORTHWEST-0227,4G-LTE,northwest,42.320444138466286,-71.47024082176432,200,Samsung,2024-02-15 10:39:16.867975,"cell-00156,cell-00262,cell-00307,cell-00274,cell-00421,cell-00133,cell-00192"
cell-00228,Tower SOUTHEAST-0228,4G-LTE,southwest,41.810727506067224,-79.81817995244943,100,Ericsson,2024-02-16 10:39:16.867975,"cell-00137,cell-00186,cell-00100,cell-00385,cell-00420"
cell-00229,Tower NORTHWEST-0229,5G-NSA,northwest,41.55606125405984,-82.68333958167875,50,Nokia,2024-02-17 10:39:16.867975,"cell-00456,cell-00345,cell-00279,cell-00378,cell-00382,cell-00104"
cell-00230,Tower NORTHWEST-0230,4G-LTE,northwest,36.53074009845674,-84.09653828608164,200,Samsung,2024-02-18 10:39:16.867975,"cell-00102,cell-00329,cell-00230,cell-00009,cell-00295"
cell-00231,Tower CENTRAL-0231,5G-NSA,central,46.739609790598685,-83.05022472338294,200,Ericsson,2024-02-19 10:39:16.867975,"cell-00490,cell-00006,cell-00335,cell-00206,cell-00123"
cell-00232,Tower NORTHEAST-0232,4G-LTE,central,28.26446284871608,-70.41370756475979,200,Samsung,2024-02-20 10:39:16.867975,"cell-00385,cell-00360,cell-00375"
cell-00233,Tower NORTHEAST-0233,4G-LTE,central,28.061659326085024,-72.80882216854559,50,Ericsson,2024-02-21 10:39:16.867975,"cell-00148,cell-00311,cell-00348,cell-00261,cell-00376"
cell-00234,Tower SOUTHWEST-0234,5G-SA,southeast,29.08269829082206,-65.0421611068951,150,Samsung,2024-02-22 10:39:16.867975,"cell-00339,cell-00243,cell-00051,cell-00402,cell-00467,cell-00106"
cell-00235,Tower NORTHWEST-0235,5G-SA,central,46.253566034100615,-88.60404878382609,200,Nokia,2024-02-23 10:39:16.867975,"cell-00316,cell-00197,cell-00359,cell-00313,cell-00366,cell-00065"
cell-00236,Tower SOUTHWEST-0236,4G-LTE,northwest,27.976578725321435,-111.52322842715203,150,Nokia,2024-02-24 10:39:16.867975,"cell-00407,cell-00222,cell-00217,cell-00367,cell-00457,cell-00444,cell-00405"
cell-00237,Tower NORTHEAST-0237,5G-NSA,northwest,25.057651405710608,-124.7350217253559,200,Ericsson,2024-02-25 10:39:16.867975,"cell-00460,cell-00364,cell-00018,cell-00448,cell-00264,cell-00048,cell-00054"
cell-00238,Tower SOUTHWEST-0238,5G-SA,southeast,27.43324747140598,-88.38568720950238,200,Samsung,2024-02-26 10:39:16.867975,"cell-00111,cell-00210,cell-00356,cell-00364"
cell-00239,Tower SOUTHEAST-0239,4G-LTE,northeast,29.20662044799863,-87.76256254816468,150,Samsung,2024-02-27 10:39:16.867975,"cell-00142,cell-00493,cell-00301,cell-00244,cell-00409,cell-00063,cell-00154"
cell-00240,Tower NORTHWEST-0240,5G-SA,northwest,44.490951052043734,-65.81302405874867,100,Nokia,2024-02-28 10:39:16.867975,"cell-00022,cell-00448,cell-00446,cell-00138,cell-00099,cell-00233,cell-00373"
cell-00241,Tower SOUTHWEST-0241,4G-LTE,southeast,26.53066084644221,-108.15468468635903,150,Ericsson,2024-02-29 10:39:16.867975,"cell-00291,cell-00169,cell-00430,cell-00407,cell-00031"
cell-00242,Tower NORTHWEST-0242,4G-LTE,northwest,40.24294935801168,-81.32017375727573,200,Ericsson,2024-03-01 10:39:16.867975,"cell-00167,cell-00191,cell-00328,cell-00473"
cell-00243,Tower CENTRAL-0243,5G-NSA,northwest,38.11147973506803,-89.41479220941986,150,Nokia,2024-03-02 10:39:16.867975,"cell-00456,cell-00223,cell-00031,cell-00068,cell-00479"
cell-00244,Tower CENTRAL-0244,5G-SA,northwest,26.039819736128813,-111.53094010409276,50,Nokia,2024-03-03 10:39:16.867975,"cell-00384,cell-00242,cell-00474"
cell-00245,Tower NORTHWEST-0245,5G-SA,southwest,31.22329682402991,-104.92369313624269,150,Ericsson,2024-03-04 10:39:16.867975,"cell-00266,cell-00175,cell-00211,cell-00061,cell-00273"
cell-00246,Tower NORTHWEST-0246,5G-NSA,southeast,47.55039296747649,-106.1514972892855,100,Samsung,2024-03-05 10:39:16.867975,"cell-00049,cell-00088,cell-00124,cell-00201,cell-00246"
cell-00247,Tower CENTRAL-0247,4G-LTE,central,26.20302356980207,-68.3712138829095,100,Samsung,2024-03-06 10:39:16.867975,"cell-00022,cell-00408,cell-00432"
cell-00248,Tower NORTHWEST-0248,4G-LTE,northwest,44.68063716182698,-120.1786028102648,100,Nokia,2024-03-07 10:39:16.867975,"cell-00358,cell-00079,cell-00238,cell-00232,cell-00431"
cell-00249,Tower SOUTHWEST-0249,5G-SA,southwest,39.886562422863726,-109.55193471472518,100,Ericsson,2024-03-08 10:39:16.867975,"cell-00369,cell-00371,cell-00312,cell-00061,cell-00462,cell-00461"
cell-00250,Tower CENTRAL-0250,4G-LTE,southeast,44.968168024329955,-74.88207179603604,100,Nokia,2024-03-09 10:39:16.867975,"cell-00372,cell-00176,cell-00161,cell-00283,cell-00114"
cell-00251,Tower NORTHEAST-0251,5G-NSA,northwest,30.413982885488014,-120.9953998700231,200,Samsung,2024-03-10 10:39:16.867975,"cell-00061,cell-00399,cell-00207,cell-00031,cell-00068"
cell-00252,Tower SOUTHWEST-0252,4G-LTE,southwest,47.62982616345269,-78.48354878379747,100,Samsung,2024-03-11 10:39:16.867975,"cell-00169,cell-00167,cell-00458,cell-00174,cell-00485,cell-00019"
cell-00253,Tower SOUTHWEST-0253,5G-SA,northwest,25.37349266171644,-91.04710424997043,200,Ericsson,2024-03-12 10:39:16.867975,"cell-00481,cell-00371,cell-00288,cell-00436"
cell-00254,Tower NORTHWEST-0254,4G-LTE,southeast,37.542120006437244,-98.84103827607485,100,Samsung,2024-03-13 10:39:16.867975,"cell-00184,cell-00470,cell-00141,cell-00488,cell-00472,cell-00301"
cell-00255,Tower NORTHEAST-0255,4G-LTE,southwest,43.356732112582556,-101.40095896988446,200,Samsung,2024-03-14 10:39:16.867975,"cell-00339,cell-00372,cell-00486,cell-00484,cell-00005"
cell-00256,Tower CENTRAL-0256,4G-LTE,central,27.434859260667032,-109.58196549492804,50,Ericsson,2024-03-15 10:39:16.867975,"cell-00298,cell-00468,cell-00022"
cell-00257,Tower NORTHWEST-0257,4G-LTE,northeast,44.68419932452832,-119.47604932013714,200,Ericsson,2024-03-16 10:39:16.867975,"cell-00180,cell-00104,cell-00476,cell-00119"
cell-00258,Tower CENTRAL-0258,5G-SA,southwest,36.122273616100884,-79.41082720493637,150,Ericsson,2024-03-17 10:39:16.867975,"cell-00096,cell-00113,cell-00047"
cell-00259,Tower SOUTHEAST-0259,5G-SA,northwest,35.60460435280501,-82.51381538243994,50,Samsung,2024-03-18 10:39:16.867975,"cell-00166,cell-00457,cell-00415,cell-00297"
cell-00260,Tower NORTHEAST-0260,4G-LTE,southwest,47.17764938926803,-90.92535281863125,150,Nokia,2024-03-19 10:39:16.867975,"cell-00364,cell-00354,cell-00355,cell-00387,cell-00226,cell-00464,cell-00483"
cell-00261,Tower SOUTHWEST-0261,4G-LTE,central,27.589423752774785,-120.54014736356713,150,Samsung,2024-03-20 10:39:16.867975,"cell-00483,cell-00191,cell-00346"
cell-00262,Tower NORTHEAST-0262,5G-NSA,central,31.69161231470302,-93.75700221978246,100,Ericsson,2024-03-21 10:39:16.867975,"cell-00472,cell-00047,cell-00209,cell-00129,cell-00307,cell-00441"
cell-00263,Tower CENTRAL-0263,5G-SA,central,27.66667882386318,-75.03719610784773,200,Nokia,2024-03-22 10:39:16.867975,"cell-00408,cell-00472,cell-00100,cell-00325,cell-00333,cell-00042,cell-00103"
cell-00264,Tower CENTRAL-0264,4G-LTE,southwest,33.97282519218284,-121.94419685031522,150,Nokia,2024-03-23 10:39:16.867975,"cell-00188,cell-00077,cell-00432,cell-00396,cell-00479,cell-00406"
cell-00265,Tower NORTHEAST-0265,4G-LTE,central,26.117479993645617,-99.31590137793106,150,Nokia,2024-03-24 10:39:16.867975,"cell-00173,cell-00397,cell-00093,cell-00049"
cell-00266,Tower NORTHWEST-0266,5G-NSA,southeast,48.909895749613,-75.60007594825102,100,Samsung,2024-03-25 10:39:16.867975,"cell-00428,cell-00362,cell-00227,cell-00219,cell-00342"
cell-00267,Tower NORTHWEST-0267,5G-SA,southeast,40.03598018007834,-76.1759154067347,150,Ericsson,2024-03-26 10:39:16.867975,"cell-00338,cell-00143,cell-00426,cell-00002,cell-00362"
cell-00268,Tower CENTRAL-0268,4G-LTE,central,31.180749455803593,-120.13651629054068,150,Nokia,2024-03-27 10:39:16.867975,"cell-00255,cell-00197,cell-00465,cell-00285,cell-00367"
cell-00269,Tower NORTHEAST-0269,5G-NSA,northeast,37.2187330780654,-109.68937162827925,200,Ericsson,2024-03-28 10:39:16.867975,"cell-00122,cell-00347,cell-00426,cell-00350,cell-00172"
