metric_id,@timestamp,network.cell.id,network.cell.prb_utilization_dl_pct,network.cell.prb_utilization_ul_pct,kpi.call_drop_rate,kpi.call_success_rate,network.procedure.success_rate,network.handover.success_rate,network.rrc.connection_success_rate,network.cell.active_subscribers,network.transport.latency_ms,network.transport.packet_loss_pct,capacity.busy_hour.prb_utilization_p95,network.cell.availability_pct
MET-0000000377,2025-11-06 09:24:00.424718,CELL-00027,47.87,19.58,2.708,97.34,99.34,93.67,95.05,648,5.77,1.065,81.54,99.764
MET-0000000378,2025-11-06 09:29:00.424718,CELL-00048,34.98,69.88,1.166,98.31,96.69,93.64,99.01,569,29.89,1.041,74.33,99.766
MET-0000000379,2025-11-06 09:34:00.424718,CELL-00065,32.24,79.57,2.114,95.0,96.8,97.72,98.37,644,20.95,1.699,68.08,99.991
MET-0000000380,2025-11-06 09:39:00.424718,CELL-00023,27.84,63.01,2.598,95.71,97.85,98.63,99.52,211,29.27,1.13,83.45,99.955
MET-0000000381,2025-11-06 09:44:00.424718,CELL-00075,63.3,62.66,0.137,95.29,95.01,95.55,95.98,522,48.84,0.893,62.89,99.581
MET-0000000382,2025-11-06 09:49:00.424718,CELL-00085,84.42,34.3,1.304,95.52,96.69,98.9,97.02,315,48.14,0.782,71.16,99.208
MET-0000000383,2025-11-06 09:54:00.424718,CELL-00138,72.42,36.44,1.44,99.02,97.66,95.13,98.1,686,6.02,0.465,64.5,99.621
MET-0000000384,2025-11-06 09:59:00.424718,CELL-00042,78.92,28.43,1.324,95.56,94.74,94.89,97.86,208,30.15,1.869,81.78,99.122
MET-0000000385,2025-11-06 10:04:00.424718,CELL-00034,80.22,30.64,2.249,95.37,94.85,94.83,97.7,330,41.74,0.355,87.91,99.097
MET-0000000386,2025-11-06 10:09:00.424718,CELL-00021,32.5,23.83,3.352,99.67,98.14,93.96,96.34,491,38.02,0.204,92.06,99.593
MET-0000000387,2025-11-06 10:14:00.424718,CELL-00031,75.51,65.55,0.591,97.66,94.1,94.34,97.06,523,15.43,1.776,73.93,99.472
MET-0000000388,2025-11-06 10:19:00.424718,CELL-00129,63.05,44.55,1.118,96.28,98.48,95.44,96.52,278,45.26,0.061,93.1,99.462
MET-0000000389,2025-11-06 10:24:00.424718,CELL-00032,49.96,39.14,0.573,97.37,95.18,98.85,99.09,539,18.82,1.058,85.68,99.971
MET-0000000390,2025-11-06 10:29:00.424718,CELL-00058,22.4,55.19,2.297,97.34,95.53,95.4,98.9,701,26.74,0.183,64.82,99.581
MET-0000000391,2025-11-06 10:34:00.424718,CELL-00070,22.33,62.88,1.103,98.63,96.15,98.35,96.16,436,43.83,0.194,91.84,99.551
MET-0000000392,2025-11-06 10:39:00.424718,CELL-00088,49.34,22.28,0.773,95.02,99.15,94.48,97.77,527,14.1,0.087,61.19,99.583
MET-0000000393,2025-11-06 10:44:00.424718,CELL-00070,74.03,53.38,3.281,99.57,97.58,94.5,95.02,761,43.39,1.484,78.04,99.573
MET-0000000394,2025-11-06 10:49:00.424718,CELL-00046,66.48,58.22,0.188,97.32,96.14,93.49,99.16,489,47.99,0.538,72.41,99.078
MET-0000000395,2025-11-06 10:54:00.424718,CELL-00135,25.87,46.41,2.561,97.16,96.09,93.46,95.56,630,29.4,0.434,63.48,99.717
MET-0000000396,2025-11-06 10:59:00.424718,CELL-00024,77.71,28.68,1.799,98.22,97.13,98.84,98.32,457,39.66,0.654,74.08,99.576
MET-0000000397,2025-11-06 11:04:00.424718,CELL-00041,43.61,55.56,1.935,96.82,94.94,96.9,99.41,486,7.93,1.335,75.29,99.779
MET-0000000398,2025-11-06 11:09:00.424718,CELL-00115,35.23,46.17,2.102,97.78,97.32,92.88,96.66,369,7.0,0.772,97.42,99.229
MET-0000000399,2025-11-06 11:14:00.424718,CELL-00137,63.03,60.6,1.18,97.73,98.64,94.87,96.43,514,27.51,0.863,90.37,99.199
MET-0000000400,2025-11-06 11:19:00.424718,CELL-00080,94.92,51.99,1.771,99.87,94.78,95.07,95.59,668,21.9,1.866,74.11,99.932
MET-0000000401,2025-11-06 11:24:00.424718,CELL-00004,42.17,19.12,2.476,98.35,97.51,98.1,98.41,238,22.44,1.36,64.32,99.823
MET-0000000402,2025-11-06 11:29:00.424718,CELL-00146,92.05,48.92,1.541,95.65,97.98,95.46,95.01,304,45.3,0.851,77.94,99.041
MET-0000000403,2025-11-06 11:34:00.424718,CELL-00046,48.19,40.1,1.5,97.71,97.26,98.17,96.04,184,21.08,1.272,61.53,99.655
MET-0000000404,2025-11-06 11:39:00.424718,CELL-00053,88.71,63.86,0.527,97.64,95.25,98.46,95.32,98,21.56,0.778,97.65,99.297
MET-0000000405,2025-11-06 11:44:00.424718,CELL-00124,58.66,79.45,3.192,95.44,98.4,93.64,95.17,707,23.07,1.515,93.77,99.063
MET-0000000406,2025-11-06 11:49:00.424718,CELL-00123,90.71,52.39,2.0,98.18,98.8,95.06,99.26,536,34.38,0.406,78.19,99.374
MET-0000000407,2025-11-06 11:54:00.424718,CELL-00012,22.63,31.9,2.627,98.01,94.78,98.35,99.16,594,12.92,1.223,74.03,99.07
MET-0000000408,2025-11-06 11:59:00.424718,CELL-00051,58.66,68.2,3.473,98.51,97.04,96.17,96.27,773,15.56,0.482,95.64,99.556
MET-0000000409,2025-11-06 12:04:00.424718,CELL-00017,45.47,56.17,2.788,99.47,95.23,97.73,96.47,149,41.75,1.915,72.0,99.815
MET-0000000410,2025-11-06 12:09:00.424718,CELL-00108,32.66,30.49,1.418,96.77,95.58,98.36,97.4,270,20.5,0.982,80.02,99.882
MET-0000000411,2025-11-06 12:14:00.424718,CELL-00069,68.05,29.67,0.793,99.51,99.26,92.92,97.42,463,32.12,0.167,92.27,99.847
MET-0000000412,2025-11-06 12:19:00.424718,CELL-00060,94.68,16.26,1.999,97.83,98.29,92.94,95.68,560,38.76,0.519,66.4,99.167
MET-0000000413,2025-11-06 12:24:00.424718,CELL-00027,54.02,76.55,2.425,98.33,98.97,97.54,97.55,100,13.75,0.156,68.4,99.803
MET-0000000414,2025-11-06 12:29:00.424718,CELL-00036,34.02,79.65,3.165,99.71,99.44,95.31,96.45,625,40.85,1.431,82.91,99.473
MET-0000000415,2025-11-06 12:34:00.424718,CELL-00050,62.68,79.26,2.41,97.59,98.18,95.55,96.4,497,15.29,0.793,84.12,99.753
MET-0000000416,2025-11-06 12:39:00.424718,CELL-00007,60.43,40.45,1.156,95.36,96.75,94.74,99.11,200,19.74,1.795,76.35,99.868
MET-0000000417,2025-11-06 12:44:00.424718,CELL-00044,47.94,67.46,1.206,96.86,94.24,97.56,99.18,90,42.06,0.475,61.54,99.372
MET-0000000418,2025-11-06 12:49:00.424718,CELL-00015,92.64,22.04,0.801,98.45,98.31,97.38,95.26,111,37.13,1.074,67.92,99.25
MET-0000000419,2025-11-06 12:54:00.424718,CELL-00111,48.85,30.23,0.177,99.7,97.04,92.32,98.31,193,42.8,0.524,68.72,99.834
MET-0000000420,2025-11-06 12:59:00.424718,CELL-00106,79.09,35.29,0.605,99.83,94.06,96.97,97.98,444,48.47,0.376,94.01,99.653
MET-0000000421,2025-11-06 13:04:00.424718,CELL-00109,34.46,57.32,3.016,96.16,96.21,97.01,98.85,117,26.6,0.948,80.05,99.063
MET-0000000422,2025-11-06 13:09:00.424718,CELL-00081,82.42,18.36,2.58,99.53,97.52,92.21,96.24,622,23.74,0.267,60.31,99.159
MET-0000000423,2025-11-06 13:14:00.424718,CELL-00058,50.8,32.69,3.284,96.84,96.64,98.36,98.59,655,5.14,1.286,61.27,99.447
MET-0000000424,2025-11-06 13:19:00.424718,CELL-00098,54.66,62.77,1.439,98.39,97.06,92.99,96.73,270,38.86,1.071,90.88,99.485
MET-0000000425,2025-11-06 13:24:00.424718,CELL-00043,79.2,15.26,1.3,99.43,95.25,95.14,97.29,471,35.84,0.854,93.9,99.611
MET-0000000426,2025-11-06 13:29:00.424718,CELL-00101,41.55,27.92,2.377,97.08,94.15,93.09,96.64,664,40.95,1.769,85.33,99.075
MET-0000000427,2025-11-06 13:34:00.424718,CELL-00024,91.69,66.82,1.113,95.87,95.81,97.86,96.98,270,21.85,1.316,95.73,99.57
MET-0000000428,2025-11-06 13:39:00.424718,CELL-00059,89.22,33.07,1.196,95.85,94.26,95.68,95.46,469,6.89,1.17,80.39,99.14
MET-0000000429,2025-11-06 13:44:00.424718,CELL-00126,58.94,16.41,1.17,96.83,97.18,92.28,96.66,759,5.44,1.621,80.95,99.696
MET-0000000430,2025-11-06 13:49:00.424718,CELL-00085,38.46,38.07,0.259,95.23,94.57,95.4,97.93,190,13.56,0.818,66.0,99.458
MET-0000000431,2025-11-06 13:54:00.424718,CELL-00112,92.53,41.11,1.244,98.11,94.09,96.6,98.21,579,31.19,1.601,82.94,99.053
MET-0000000432,2025-11-06 13:59:00.424718,CELL-00040,94.88,74.91,1.78,97.96,95.65,98.59,98.54,732,47.65,1.178,67.15,99.669
MET-0000000433,2025-11-06 14:04:00.424718,CELL-00028,67.38,74.59,0.537,97.89,98.82,95.95,98.76,337,30.36,1.678,63.64,99.581
MET-0000000434,2025-11-06 14:09:00.424718,CELL-00038,41.52,68.23,3.497,97.73,95.91,93.79,96.5,185,8.53,0.051,60.26,99.339
MET-0000000435,2025-11-06 14:14:00.424718,CELL-00136,40.57,33.18,1.903,98.84,95.39,98.72,98.1,538,43.18,0.745,66.91,99.905
MET-0000000436,2025-11-06 14:19:00.424718,CELL-00140,34.95,56.89,3.479,99.57,98.67,92.92,97.7,334,21.54,0.316,86.31,99.281
MET-0000000437,2025-11-06 14:24:00.424718,CELL-00060,85.63,33.15,0.698,95.23,96.11,97.04,96.07,262,37.68,0.28,62.66,99.934
MET-0000000438,2025-11-06 14:29:00.424718,CELL-00127,70.16,29.52,0.336,97.39,95.87,92.8,99.75,534,24.47,0.619,66.7,99.981
MET-0000000439,2025-11-06 14:34:00.424718,CELL-00116,48.84,27.94,2.912,98.44,99.32,93.78,96.57,109,33.32,1.047,71.89,99.505
MET-0000000440,2025-11-06 14:39:00.424718,CELL-00145,43.88,71.59,2.431,99.36,96.84,97.85,99.74,573,48.63,1.94,78.09,99.267
MET-0000000441,2025-11-06 14:44:00.424718,CELL-00067,54.73,75.4,1.245,96.46,95.48,93.1,98.01,600,42.36,1.056,64.52,99.135
MET-0000000442,2025-11-06 14:49:00.424718,CELL-00088,22.67,34.46,2.637,96.6,96.46,96.3,95.98,572,35.1,1.694,85.6,99.242
MET-0000000443,2025-11-06 14:54:00.424718,CELL-00146,27.71,35.29,0.26,98.17,95.99,94.5,97.96,748,27.49,1.915,90.1,99.677
MET-0000000444,2025-11-06 14:59:00.424718,CELL-00109,20.39,33.74,0.451,96.37,95.69,95.79,95.54,503,46.5,0.682,83.22,99.544
MET-0000000445,2025-11-06 15:04:00.424718,CELL-00093,75.77,23.67,2.017,95.11,97.9,94.21,95.84,634,9.65,0.786,73.93,99.299
MET-0000000446,2025-11-06 15:09:00.424718,CELL-00012,90.58,31.96,1.883,95.61,99.13,93.62,96.02,371,43.51,1.09,95.3,99.174
MET-0000000447,2025-11-06 15:14:00.424718,CELL-00090,89.0,63.78,2.878,95.96,96.82,98.15,99.42,337,28.1,0.494,93.66,99.841
MET-0000000448,2025-11-06 15:19:00.424718,CELL-00105,64.59,18.3,0.689,96.95,97.88,98.22,95.73,406,30.73,1.394,96.39,99.629
MET-0000000449,2025-11-06 15:24:00.424718,CELL-00123,20.99,67.54,1.373,96.18,96.35,94.21,98.88,133,33.18,0.735,95.71,99.487
MET-0000000450,2025-11-06 15:29:00.424718,CELL-00021,85.48,39.01,2.798,98.45,95.95,94.99,97.12,251,47.21,1.869,88.77,99.992
MET-0000000451,2025-11-06 15:34:00.424718,CELL-00086,88.66,72.62,1.71,98.25,99.45,93.67,99.43,612,19.77,1.446,92.47,99.593
MET-0000000452,2025-11-06 15:39:00.424718,CELL-00103,20.84,35.41,0.886,99.69,94.14,92.26,99.38,185,17.21,1.701,85.6,99.432
MET-0000000453,2025-11-06 15:44:00.424718,CELL-00109,93.56,48.55,1.5,97.53,95.45,98.0,96.41,489,30.44,0.116,88.22,99.754
MET-0000000454,2025-11-06 15:49:00.424718,CELL-00145,36.17,25.07,3.195,97.31,99.22,95.76,97.55,568,46.64,0.668,60.0,99.018
MET-0000000455,2025-11-06 15:54:00.424718,CELL-00051,41.25,68.01,1.803,99.58,98.33,94.97,96.29,649,35.44,0.908,90.61,99.801
MET-0000000456,2025-11-06 15:59:00.424718,CELL-00034,46.5,39.18,2.436,95.17,95.44,94.04,95.76,373,8.26,1.845,74.56,99.51
MET-0000000457,2025-11-06 16:04:00.424718,CELL-00141,43.65,36.89,2.313,99.49,98.45,92.59,97.58,519,32.18,1.383,62.56,99.054
MET-0000000458,2025-11-06 16:09:00.424718,CELL-00067,59.47,75.79,0.204,98.39,97.79,93.63,98.33,386,14.45,0.699,94.12,99.261
MET-0000000459,2025-11-06 16:14:00.424718,CELL-00076,48.65,41.68,0.957,95.33,97.2,97.06,97.08,311,5.85,0.879,84.63,99.89
MET-0000000460,2025-11-06 16:19:00.424718,CELL-00096,45.93,21.13,2.427,99.05,97.86,94.63,98.47,605,30.44,1.658,60.12,99.836
MET-0000000461,2025-11-06 16:24:00.424718,CELL-00042,76.43,41.69,0.597,96.2,97.25,93.41,96.15,158,10.22,0.437,65.65,99.772
MET-0000000462,2025-11-06 16:29:00.424718,CELL-00066,30.59,54.21,1.543,96.34,94.96,93.25,99.74,364,35.09,0.132,70.45,99.302
MET-0000000463,2025-11-06 16:34:00.424718,CELL-00030,52.61,40.99,2.672,97.52,95.58,98.67,96.83,212,49.59,0.091,82.74,99.513
MET-0000000464,2025-11-06 16:39:00.424718,CELL-00146,25.03,61.94,0.165,95.96,94.8,97.88,99.76,279,18.61,1.634,82.44,99.707
MET-0000000465,2025-11-06 16:44:00.424718,CELL-00003,39.8,26.97,2.387,95.19,95.36,98.57,98.08,136,32.06,1.123,90.64,99.726
MET-0000000466,2025-11-06 16:49:00.424718,CELL-00129,37.96,30.93,0.504,96.47,97.13,97.44,97.26,168,40.13,1.133,94.29,99.2
MET-0000000467,2025-11-06 16:54:00.424718,CELL-00062,91.66,17.38,2.439,96.83,94.85,97.13,97.21,698,29.92,0.492,78.87,99.352
MET-0000000468,2025-11-06 16:59:00.424718,CELL-00096,29.78,23.72,2.906,97.11,98.03,94.75,98.02,546,9.32,1.77,66.18,99.703
MET-0000000469,2025-11-06 17:04:00.424718,CELL-00095,91.32,17.93,1.901,96.09,97.1,92.67,99.61,85,44.86,1.842,82.92,99.378
MET-0000000470,2025-11-06 17:09:00.424718,CELL-00080,25.31,36.34,1.039,95.1,95.02,98.53,99.55,377,6.43,1.979,68.26,99.498
MET-0000000471,2025-11-06 17:14:00.424718,CELL-00031,25.71,18.88,3.29,97.14,95.41,98.64,97.88,479,17.83,1.682,94.8,99.653
MET-0000000472,2025-11-06 17:19:00.424718,CELL-00062,78.47,67.24,0.921,99.4,98.58,98.89,95.96,696,5.9,0.408,63.34,99.133
MET-0000000473,2025-11-06 17:24:00.424718,CELL-00036,31.19,38.94,2.302,95.22,99.49,96.58,99.79,515,5.31,0.689,64.87,99.232
MET-0000000474,2025-11-06 17:29:00.424718,CELL-00091,85.56,61.0,0.928,95.26,94.84,94.79,97.42,562,47.97,0.184,68.98,99.707
MET-0000000475,2025-11-06 17:34:00.424718,CELL-00088,92.2,61.65,3.429,99.87,94.44,97.83,97.76,308,7.52,1.051,91.19,99.963
MET-0000000476,2025-11-06 17:39:00.424718,CELL-00118,79.21,78.41,2.114,95.99,95.62,98.03,96.53,425,22.27,0.73,69.69,99.387
MET-0000000477,2025-11-06 17:44:00.424718,CELL-00138,76.0,79.68,2.859,99.68,95.75,97.41,98.15,60,39.12,1.058,72.46,99.361
MET-0000000478,2025-11-06 17:49:00.424718,CELL-00025,57.8,65.73,1.234,96.38,96.54,96.59,97.72,199,12.41,0.408,74.96,99.568
MET-0000000479,2025-11-06 17:54:00.424718,CELL-00071,27.39,56.54,2.348,95.27,99.3,93.59,98.36,553,38.06,0.272,69.11,99.692
MET-0000000480,2025-11-06 17:59:00.424718,CELL-00012,23.62,21.63,2.994,95.45,94.78,93.41,97.88,342,15.97,0.008,80.67,99.65
MET-0000000481,2025-11-06 18:04:00.424718,CELL-00123,31.03,21.97,3.022,95.5,95.87,96.03,96.39,130,36.34,1.044,65.93,99.551
MET-0000000482,2025-11-06 18:09:00.424718,CELL-00047,39.76,22.42,1.405,99.21,94.03,96.87,96.98,663,35.13,1.896,78.12,99.983
MET-0000000483,2025-11-06 18:14:00.424718,CELL-00001,80.79,40.75,1.313,99.87,95.54,95.47,98.42,774,39.95,0.89,89.38,99.686
MET-0000000484,2025-11-06 18:19:00.424718,CELL-00009,47.68,18.15,0.937,99.62,98.44,94.12,98.92,563,9.06,1.489,69.96,99.057
MET-0000000485,2025-11-06 18:24:00.424718,CELL-00067,55.19,31.06,0.704,95.98,98.67,96.8,99.47,526,16.96,1.757,73.45,99.42
MET-0000000486,2025-11-06 18:29:00.424718,CELL-00013,59.71,46.55,1.539,95.57,97.11,97.05,99.16,173,41.98,0.876,85.47,99.604
MET-0000000487,2025-11-06 18:34:00.424718,CELL-00100,81.93,47.25,0.596,95.47,95.64,93.68,99.33,422,12.25,1.159,62.53,99.617
MET-0000000488,2025-11-06 18:39:00.424718,CELL-00074,34.22,36.96,0.668,98.32,95.71,96.47,99.69,335,48.5,0.947,62.59,99.756
MET-0000000489,2025-11-06 18:44:00.424718,CELL-00015,84.67,25.83,2.928,96.74,94.42,96.11,97.91,676,25.32,1.481,68.17,99.508
MET-0000000490,2025-11-06 18:49:00.424718,CELL-00143,46.48,33.53,0.276,98.35,97.08,93.26,97.95,514,27.45,0.823,92.2,99.636
MET-0000000491,2025-11-06 18:54:00.424718,CELL-00005,65.25,64.14,1.526,99.66,99.36,92.16,95.04,638,29.89,0.129,89.86,99.872
MET-0000000492,2025-11-06 18:59:00.424718,CELL-00097,28.82,55.37,2.099,97.98,99.29,98.52,97.2,379,14.46,0.16,83.32,99.551
MET-0000000493,2025-11-06 19:04:00.424718,CELL-00074,73.18,76.4,2.617,98.39,98.94,95.02,96.51,745,28.32,1.119,62.03,99.414
MET-0000000494,2025-11-06 19:09:00.424718,CELL-00127,78.71,72.68,0.597,95.41,94.61,92.81,95.49,724,47.3,1.576,77.79,99.474
MET-0000000495,2025-11-06 19:14:00.424718,CELL-00019,75.15,75.16,2.749,99.41,96.1,96.89,96.95,190,19.68,0.031,88.75,99.054
MET-0000000496,2025-11-06 19:19:00.424718,CELL-00128,73.24,52.38,0.715,96.74,95.26,95.05,96.9,274,30.05,1.894,83.66,99.931
MET-0000000497,2025-11-06 19:24:00.424718,CELL-00143,71.07,43.71,2.971,95.38,96.86,92.82,95.62,676,8.81,0.978,63.83,99.842
MET-0000000498,2025-11-06 19:29:00.424718,CELL-00057,70.09,42.76,2.27,99.53,96.4,98.74,95.85,376,12.67,1.766,95.33,99.046
MET-0000000499,2025-11-06 19:34:00.424718,CELL-00028,72.18,35.01,0.589,96.83,97.21,96.25,96.16,87,21.78,0.348,74.58,99.713
MET-0000000500,2025-11-06 19:39:00.424718,CELL-00009,56.71,28.86,2.197,98.66,95.28,98.73,99.06,418,8.5,0.81,88.52,99.463
MET-0000000501,2025-11-06 19:44:00.424718,CELL-00113,65.7,74.25,2.913,95.72,97.05,97.48,97.12,350,31.53,1.427,60.25,99.15
MET-0000000502,2025-11-06 19:49:00.424718,CELL-00112,67.94,79.56,2.616,97.36,98.56,96.43,95.32,217,40.57,1.047,64.94,99.328
MET-0000000503,2025-11-06 19:54:00.424718,CELL-00040,93.17,43.8,1.114,95.62,95.96,94.88,98.19,537,16.52,1.369,69.27,99.925
MET-0000000504,2025-11-06 19:59:00.424718,CELL-00109,42.73,19.87,3.118,97.78,96.15,92.91,98.26,115,43.53,1.873,94.34,99.345
MET-0000000505,2025-11-06 20:04:00.424718,CELL-00140,59.63,27.62,1.241,97.39,98.61,93.58,97.61,357,5.37,1.43,63.72,99.763
MET-0000000506,2025-11-06 20:09:00.424718,CELL-00054,56.85,45.89,2.429,96.99,99.48,94.57,96.03,154,20.91,0.283,87.58,99.772
MET-0000000507,2025-11-06 20:14:00.424718,CELL-00019,75.25,39.21,1.205,99.58,98.08,96.25,98.27,648,23.13,1.076,62.52,99.946
MET-0000000508,2025-11-06 20:19:00.424718,CELL-00094,72.72,42.71,0.781,98.14,98.33,98.94,98.38,476,40.28,1.462,76.73,99.41
MET-0000000509,2025-11-06 20:24:00.424718,CELL-00100,57.41,76.74,2.163,96.53,97.6,96.03,97.18,511,21.88,0.919,84.84,99.157
MET-0000000510,2025-11-06 20:29:00.424718,CELL-00117,93.53,48.17,1.686,97.58,99.32,97.84,98.8,394,31.31,1.107,77.95,99.803
MET-0000000511,2025-11-06 20:34:00.424718,CELL-00114,40.46,67.16,2.504,95.5,98.05,97.65,99.71,98,41.36,1.218,64.29,99.746
MET-0000000512,2025-11-06 20:39:00.424718,CELL-00130,68.18,65.5,2.398,96.51,94.89,95.33,96.82,215,10.11,1.667,86.46,99.174
MET-0000000513,2025-11-06 20:44:00.424718,CELL-00100,40.34,39.03,2.207,95.82,94.42,94.5,97.89,355,48.87,0.314,97.85,99.079
MET-0000000514,2025-11-06 20:49:00.424718,CELL-00119,82.85,47.67,3.414,97.58,94.31,94.16,95.34,100,39.7,1.324,66.75,99.643
MET-0000000515,2025-11-06 20:54:00.424718,CELL-00051,38.59,25.69,0.581,98.5,99.36,96.74,95.6,258,39.49,1.064,89.08,99.063
MET-0000000516,2025-11-06 20:59:00.424718,CELL-00064,47.01,19.86,0.881,99.4,94.46,94.04,95.47,777,48.94,0.395,87.98,99.264
MET-0000000517,2025-11-06 21:04:00.424718,CELL-00088,53.43,45.62,3.164,96.12,97.22,94.49,98.38,497,42.6,0.929,89.42,99.467
MET-0000000518,2025-11-06 21:09:00.424718,CELL-00119,36.75,57.47,0.705,98.28,95.53,96.18,97.76,274,35.19,0.657,92.03,99.696
MET-0000000519,2025-11-06 21:14:00.424718,CELL-00126,94.2,61.64,0.348,98.31,99.34,93.87,99.38,485,28.76,0.629,60.07,99.058
MET-0000000520,2025-11-06 21:19:00.424718,CELL-00121,71.13,40.35,2.517,95.46,97.74,98.55,95.36,132,47.7,0.308,88.08,99.066
MET-0000000521,2025-11-06 21:24:00.424718,CELL-00121,39.0,47.4,1.496,98.55,97.03,96.45,95.64,654,9.09,1.808,73.31,99.98
MET-0000000522,2025-11-06 21:29:00.424718,CELL-00024,70.92,41.02,0.948,95.25,98.36,95.23,95.6,674,18.07,1.698,87.92,99.983
MET-0000000523,2025-11-06 21:34:00.424718,CELL-00144,49.86,61.16,2.408,96.4,97.27,94.53,95.47,666,17.6,1.972,68.52,99.227
MET-0000000524,2025-11-06 21:39:00.424718,CELL-00063,28.51,46.5,0.485,96.23,94.97,92.85,98.13,533,18.76,0.059,73.18,99.49
MET-0000000525,2025-11-06 21:44:00.424718,CELL-00102,53.48,15.19,0.85,95.4,95.46,94.55,99.02,116,35.21,0.3,67.03,99.995
MET-0000000526,2025-11-06 21:49:00.424718,CELL-00026,89.13,21.22,1.107,95.96,96.68,97.79,96.74,692,39.81,0.482,60.65,99.536
MET-0000000527,2025-11-06 21:54:00.424718,CELL-00049,51.95,47.47,1.459,98.43,94.25,97.55,95.62,514,9.36,0.383,71.61,99.315
MET-0000000528,2025-11-06 21:59:00.424718,CELL-00009,37.16,42.24,0.546,97.02,98.26,96.24,98.24,571,16.08,0.202,88.57,99.418
MET-0000000529,2025-11-06 22:04:00.424718,CELL-00057,29.77,63.37,1.277,99.75,94.23,96.41,97.84,367,6.79,0.258,96.33,99.222
MET-0000000530,2025-11-06 22:09:00.424718,CELL-00107,38.75,16.22,2.72,99.31,97.05,92.74,97.59,66,22.96,1.49,80.51,99.385
MET-0000000531,2025-11-06 22:14:00.424718,CELL-00085,57.24,58.03,1.827,98.94,96.34,93.67,96.04,627,7.33,0.954,89.47,99.182
MET-0000000532,2025-11-06 22:19:00.424718,CELL-00058,62.41,54.72,2.905,96.66,98.48,92.1,98.8,339,40.48,0.425,90.82,99.605
MET-0000000533,2025-11-06 22:24:00.424718,CELL-00015,50.0,60.66,2.194,99.29,94.35,94.01,95.99,516,45.91,1.459,83.96,99.164
MET-0000000534,2025-11-06 22:29:00.424718,CELL-00003,54.14,56.72,1.295,99.07,94.96,98.26,98.9,191,45.47,1.241,61.02,99.094
MET-0000000535,2025-11-06 22:34:00.424718,CELL-00096,56.47,18.61,0.849,97.72,99.4,97.65,97.09,699,29.02,1.105,72.42,99.945
MET-0000000536,2025-11-06 22:39:00.424718,CELL-00138,54.74,18.62,2.123,99.66,98.24,94.63,99.3,518,42.7,1.977,71.76,99.345
MET-0000000537,2025-11-06 22:44:00.424718,CELL-00072,42.84,74.64,3.24,98.58,97.08,94.49,95.6,61,6.67,1.135,86.08,99.514
MET-0000000538,2025-11-06 22:49:00.424718,CELL-00091,44.8,70.98,1.587,95.01,96.07,92.79,95.06,160,22.81,0.556,74.16,99.153
MET-0000000539,2025-11-06 22:54:00.424718,CELL-00096,29.2,61.25,2.961,98.2,94.2,93.52,98.22,307,30.71,0.861,97.67,99.112
MET-0000000540,2025-11-06 22:59:00.424718,CELL-00012,89.03,22.39,1.993,99.71,95.82,92.47,95.79,643,8.2,1.289,91.94,99.691
MET-0000000541,2025-11-06 23:04:00.424718,CELL-00018,40.1,74.96,1.793,98.6,98.41,95.64,96.47,107,26.44,0.608,70.17,99.394
MET-0000000542,2025-11-06 23:09:00.424718,CELL-00045,74.39,23.29,0.618,96.72,97.21,97.37,95.31,672,22.63,1.249,90.36,99.869
MET-0000000543,2025-11-06 23:14:00.424718,CELL-00098,32.97,73.6,0.516,98.37,97.24,96.88,98.22,694,12.46,1.351,96.99,99.219
MET-0000000544,2025-11-06 23:19:00.424718,CELL-00029,25.69,63.09,2.307,96.47,99.16,95.75,96.23,407,45.0,1.095,78.03,99.597
MET-0000000545,2025-11-06 23:24:00.424718,CELL-00146,65.19,49.97,3.312,96.91,94.75,93.64,97.33,559,35.98,0.699,96.21,99.184
MET-0000000546,2025-11-06 23:29:00.424718,CELL-00031,31.27,25.39,2.77,95.22,96.55,94.37,97.85,589,16.8,1.644,69.11,99.568
MET-0000000547,2025-11-06 23:34:00.424718,CELL-00062,49.83,67.06,0.169,98.77,94.91,96.81,98.85,338,49.79,0.01,70.0,99.909
MET-0000000548,2025-11-06 23:39:00.424718,CELL-00013,66.9,75.3,0.148,97.69,97.27,95.71,98.96,58,14.07,1.504,95.75,99.874
MET-0000000549,2025-11-06 23:44:00.424718,CELL-00006,62.23,39.17,0.182,96.46,96.48,93.84,98.97,355,14.18,0.825,89.0,99.905
MET-0000000550,2025-11-06 23:49:00.424718,CELL-00141,20.97,73.95,0.731,99.25,94.76,95.35,97.28,489,35.7,0.482,79.9,99.216
MET-0000000551,2025-11-06 23:54:00.424718,CELL-00053,59.25,38.49,2.875,99.84,97.34,94.26,96.26,75,34.83,1.915,84.91,99.979
MET-0000000552,2025-11-06 23:59:00.424718,CELL-00104,90.52,47.76,0.601,96.52,99.25,98.96,97.28,333,43.09,1.95,86.04,99.529
MET-0000000553,2025-11-07 00:04:00.424718,CELL-00112,48.9,21.94,1.097,98.8,96.43,97.07,97.36,284,25.37,0.102,73.8,99.62
MET-0000000554,2025-11-07 00:09:00.424718,CELL-00005,82.09,36.54,0.781,97.32,99.33,93.49,95.84,417,8.06,0.017,72.0,99.808
MET-0000000555,2025-11-07 00:14:00.424718,CELL-00088,50.92,21.7,3.233,99.24,96.53,98.51,97.72,605,26.51,0.229,86.48,99.635
